Category: All categories

Week,turban: (Worldwide)
2012-01-01,45
2012-01-08,48
2012-01-15,50
2012-01-22,49
2012-01-29,49
2012-02-05,55
2012-02-12,52
2012-02-19,48
2012-02-26,47
2012-03-04,49
2012-03-11,47
2012-03-18,46
2012-03-25,41
2012-04-01,39
2012-04-08,47
2012-04-15,44
2012-04-22,41
2012-04-29,45
2012-05-06,44
2012-05-13,42
2012-05-20,40
2012-05-27,40
2012-06-03,42
2012-06-10,42
2012-06-17,46
2012-06-24,44
2012-07-01,44
2012-07-08,44
2012-07-15,44
2012-07-22,45
2012-07-29,45
2012-08-05,59
2012-08-12,47
2012-08-19,47
2012-08-26,44
2012-09-02,46
2012-09-09,45
2012-09-16,46
2012-09-23,47
2012-09-30,47
2012-10-07,44
2012-10-14,46
2012-10-21,47
2012-10-28,43
2012-11-04,46
2012-11-11,47
2012-11-18,48
2012-11-25,49
2012-12-02,51
2012-12-09,59
2012-12-16,48
2012-12-23,48
2012-12-30,49
2013-01-06,53
2013-01-13,55
2013-01-20,53
2013-01-27,57
2013-02-03,53
2013-02-10,54
2013-02-17,60
2013-02-24,54
2013-03-03,51
2013-03-10,52
2013-03-17,59
2013-03-24,54
2013-03-31,52
2013-04-07,51
2013-04-14,100
2013-04-21,56
2013-04-28,55
2013-05-05,56
2013-05-12,52
2013-05-19,55
2013-05-26,56
2013-06-02,60
2013-06-09,78
2013-06-16,64
2013-06-23,60
2013-06-30,59
2013-07-07,66
2013-07-14,71
2013-07-21,75
2013-07-28,72
2013-08-04,73
2013-08-11,65
2013-08-18,68
2013-08-25,59
2013-09-01,58
2013-09-08,60
2013-09-15,53
2013-09-22,56
2013-09-29,56
2013-10-06,59
2013-10-13,57
2013-10-20,55
2013-10-27,60
2013-11-03,54
2013-11-10,54
2013-11-17,61
2013-11-24,55
2013-12-01,53
2013-12-08,52
2013-12-15,53
2013-12-22,54
2013-12-29,53
2014-01-05,51
2014-01-12,56
2014-01-19,58
2014-01-26,56
2014-02-02,55
2014-02-09,53
2014-02-16,52
2014-02-23,56
2014-03-02,55
2014-03-09,53
2014-03-16,53
2014-03-23,53
2014-03-30,54
2014-04-06,55
2014-04-13,61
2014-04-20,58
2014-04-27,57
2014-05-04,55
2014-05-11,56
2014-05-18,58
2014-05-25,59
2014-06-01,60
2014-06-08,60
2014-06-15,57
2014-06-22,58
2014-06-29,61
2014-07-06,65
2014-07-13,81
2014-07-20,70
2014-07-27,66
2014-08-03,67
2014-08-10,67
2014-08-17,60
2014-08-24,59
2014-08-31,58
2014-09-07,55
2014-09-14,57
2014-09-21,55
2014-09-28,58
2014-10-05,59
2014-10-12,56
2014-10-19,56
2014-10-26,66
2014-11-02,56
2014-11-09,57
2014-11-16,58
2014-11-23,56
2014-11-30,58
2014-12-07,59
2014-12-14,55
2014-12-21,56
2014-12-28,61
2015-01-04,63
2015-01-11,60
2015-01-18,55
2015-01-25,58
2015-02-01,61
2015-02-08,63
2015-02-15,63
2015-02-22,65
2015-03-01,61
2015-03-08,58
2015-03-15,60
2015-03-22,60
2015-03-29,63
2015-04-05,64
2015-04-12,64
2015-04-19,67
2015-04-26,66
2015-05-03,62
2015-05-10,67
2015-05-17,74
2015-05-24,76
2015-05-31,64
2015-06-07,64
2015-06-14,65
2015-06-21,68
2015-06-28,78
2015-07-05,80
2015-07-12,82
2015-07-19,70
2015-07-26,66
2015-08-02,70
2015-08-09,70
2015-08-16,63
2015-08-23,60
2015-08-30,61
2015-09-06,60
2015-09-13,64
2015-09-20,62
2015-09-27,66
2015-10-04,62
2015-10-11,60
2015-10-18,65
2015-10-25,65
2015-11-01,59
2015-11-08,61
2015-11-15,65
2015-11-22,59
2015-11-29,62
2015-12-06,65
2015-12-13,65
2015-12-20,65
2015-12-27,63
