Category: All categories

Week,tuxedo: (Worldwide)
2012-01-01,53
2012-01-08,59
2012-01-15,67
2012-01-22,64
2012-01-29,62
2012-02-05,64
2012-02-12,65
2012-02-19,67
2012-02-26,69
2012-03-04,66
2012-03-11,68
2012-03-18,69
2012-03-25,75
2012-04-01,82
2012-04-08,88
2012-04-15,94
2012-04-22,100
2012-04-29,90
2012-05-06,90
2012-05-13,79
2012-05-20,69
2012-05-27,66
2012-06-03,65
2012-06-10,60
2012-06-17,58
2012-06-24,55
2012-07-01,54
2012-07-08,58
2012-07-15,54
2012-07-22,57
2012-07-29,58
2012-08-05,57
2012-08-12,59
2012-08-19,61
2012-08-26,56
2012-09-02,59
2012-09-09,58
2012-09-16,65
2012-09-23,64
2012-09-30,60
2012-10-07,62
2012-10-14,65
2012-10-21,69
2012-10-28,58
2012-11-04,61
2012-11-11,58
2012-11-18,56
2012-11-25,63
2012-12-02,62
2012-12-09,62
2012-12-16,53
2012-12-23,57
2012-12-30,63
2013-01-06,63
2013-01-13,68
2013-01-20,67
2013-01-27,64
2013-02-03,65
2013-02-10,66
2013-02-17,66
2013-02-24,70
2013-03-03,69
2013-03-10,74
2013-03-17,72
2013-03-24,73
2013-03-31,82
2013-04-07,93
2013-04-14,97
2013-04-21,96
2013-04-28,91
2013-05-05,84
2013-05-12,78
2013-05-19,70
2013-05-26,65
2013-06-02,68
2013-06-09,61
2013-06-16,54
2013-06-23,55
2013-06-30,51
2013-07-07,54
2013-07-14,54
2013-07-21,57
2013-07-28,58
2013-08-04,59
2013-08-11,56
2013-08-18,56
2013-08-25,53
2013-09-01,59
2013-09-08,59
2013-09-15,62
2013-09-22,60
2013-09-29,60
2013-10-06,61
2013-10-13,63
2013-10-20,60
2013-10-27,59
2013-11-03,55
2013-11-10,57
2013-11-17,55
2013-11-24,57
2013-12-01,62
2013-12-08,61
2013-12-15,54
2013-12-22,55
2013-12-29,63
2014-01-05,60
2014-01-12,67
2014-01-19,65
2014-01-26,65
2014-02-02,64
2014-02-09,66
2014-02-16,69
2014-02-23,67
2014-03-02,77
2014-03-09,72
2014-03-16,71
2014-03-23,79
2014-03-30,83
2014-04-06,87
2014-04-13,91
2014-04-20,94
2014-04-27,95
2014-05-04,89
2014-05-11,80
2014-05-18,71
2014-05-25,65
2014-06-01,66
2014-06-08,61
2014-06-15,55
2014-06-22,56
2014-06-29,51
2014-07-06,56
2014-07-13,54
2014-07-20,58
2014-07-27,55
2014-08-03,58
2014-08-10,59
2014-08-17,56
2014-08-24,57
2014-08-31,56
2014-09-07,56
2014-09-14,60
2014-09-21,57
2014-09-28,60
2014-10-05,59
2014-10-12,59
2014-10-19,60
2014-10-26,60
2014-11-02,54
2014-11-09,58
2014-11-16,58
2014-11-23,56
2014-11-30,63
2014-12-07,63
2014-12-14,55
2014-12-21,55
2014-12-28,64
2015-01-04,58
2015-01-11,67
2015-01-18,65
2015-01-25,66
2015-02-01,63
2015-02-08,69
2015-02-15,67
2015-02-22,73
2015-03-01,75
2015-03-08,74
2015-03-15,76
2015-03-22,76
2015-03-29,82
2015-04-05,90
2015-04-12,96
2015-04-19,95
2015-04-26,91
2015-05-03,83
2015-05-10,80
2015-05-17,73
2015-05-24,71
2015-05-31,68
2015-06-07,61
2015-06-14,54
2015-06-21,54
2015-06-28,51
2015-07-05,52
2015-07-12,54
2015-07-19,54
2015-07-26,53
2015-08-02,56
2015-08-09,56
2015-08-16,55
2015-08-23,55
2015-08-30,55
2015-09-06,58
2015-09-13,70
2015-09-20,63
2015-09-27,60
2015-10-04,59
2015-10-11,61
2015-10-18,60
2015-10-25,62
2015-11-01,60
2015-11-08,59
2015-11-15,59
2015-11-22,59
2015-11-29,63
2015-12-06,63
2015-12-13,58
2015-12-20,52
2015-12-27,65
