Category: All categories

Week,twill: (Worldwide)
2012-01-01,75
2012-01-08,76
2012-01-15,77
2012-01-22,70
2012-01-29,71
2012-02-05,77
2012-02-12,72
2012-02-19,70
2012-02-26,73
2012-03-04,78
2012-03-11,77
2012-03-18,74
2012-03-25,75
2012-04-01,76
2012-04-08,69
2012-04-15,77
2012-04-22,71
2012-04-29,73
2012-05-06,75
2012-05-13,66
2012-05-20,75
2012-05-27,70
2012-06-03,63
2012-06-10,69
2012-06-17,67
2012-06-24,72
2012-07-01,74
2012-07-08,76
2012-07-15,75
2012-07-22,78
2012-07-29,75
2012-08-05,76
2012-08-12,75
2012-08-19,77
2012-08-26,74
2012-09-02,76
2012-09-09,77
2012-09-16,77
2012-09-23,71
2012-09-30,67
2012-10-07,79
2012-10-14,72
2012-10-21,72
2012-10-28,70
2012-11-04,71
2012-11-11,76
2012-11-18,86
2012-11-25,93
2012-12-02,87
2012-12-09,87
2012-12-16,76
2012-12-23,74
2012-12-30,71
2013-01-06,77
2013-01-13,77
2013-01-20,81
2013-01-27,72
2013-02-03,68
2013-02-10,63
2013-02-17,68
2013-02-24,76
2013-03-03,70
2013-03-10,67
2013-03-17,78
2013-03-24,77
2013-03-31,80
2013-04-07,73
2013-04-14,72
2013-04-21,71
2013-04-28,72
2013-05-05,72
2013-05-12,70
2013-05-19,70
2013-05-26,66
2013-06-02,74
2013-06-09,66
2013-06-16,77
2013-06-23,70
2013-06-30,71
2013-07-07,74
2013-07-14,69
2013-07-21,77
2013-07-28,75
2013-08-04,76
2013-08-11,82
2013-08-18,86
2013-08-25,82
2013-09-01,86
2013-09-08,85
2013-09-15,85
2013-09-22,82
2013-09-29,81
2013-10-06,80
2013-10-13,86
2013-10-20,80
2013-10-27,77
2013-11-03,84
2013-11-10,83
2013-11-17,86
2013-11-24,96
2013-12-01,100
2013-12-08,94
2013-12-15,81
2013-12-22,78
2013-12-29,84
2014-01-05,85
2014-01-12,80
2014-01-19,81
2014-01-26,74
2014-02-02,73
2014-02-09,77
2014-02-16,77
2014-02-23,74
2014-03-02,78
2014-03-09,82
2014-03-16,79
2014-03-23,78
2014-03-30,77
2014-04-06,78
2014-04-13,85
2014-04-20,77
2014-04-27,81
2014-05-04,79
2014-05-11,74
2014-05-18,72
2014-05-25,72
2014-06-01,76
2014-06-08,68
2014-06-15,66
2014-06-22,76
2014-06-29,69
2014-07-06,75
2014-07-13,75
2014-07-20,75
2014-07-27,78
2014-08-03,79
2014-08-10,81
2014-08-17,77
2014-08-24,81
2014-08-31,72
2014-09-07,73
2014-09-14,76
2014-09-21,77
2014-09-28,71
2014-10-05,76
2014-10-12,82
2014-10-19,78
2014-10-26,78
2014-11-02,75
2014-11-09,81
2014-11-16,83
2014-11-23,84
2014-11-30,94
2014-12-07,83
2014-12-14,79
2014-12-21,79
2014-12-28,83
2015-01-04,76
2015-01-11,76
2015-01-18,78
2015-01-25,74
2015-02-01,72
2015-02-08,74
2015-02-15,75
2015-02-22,78
2015-03-01,81
2015-03-08,73
2015-03-15,76
2015-03-22,74
2015-03-29,73
2015-04-05,78
2015-04-12,78
2015-04-19,76
2015-04-26,80
2015-05-03,75
2015-05-10,76
2015-05-17,75
2015-05-24,71
2015-05-31,74
2015-06-07,71
2015-06-14,72
2015-06-21,74
2015-06-28,71
2015-07-05,74
2015-07-12,73
2015-07-19,73
2015-07-26,75
2015-08-02,76
2015-08-09,81
2015-08-16,73
2015-08-23,70
2015-08-30,79
2015-09-06,80
2015-09-13,72
2015-09-20,76
2015-09-27,78
2015-10-04,78
2015-10-11,79
2015-10-18,78
2015-10-25,80
2015-11-01,78
2015-11-08,76
2015-11-15,76
2015-11-22,87
2015-11-29,95
2015-12-06,83
2015-12-13,86
2015-12-20,79
2015-12-27,88
