Category: All categories

Week,umbrella: (Worldwide)
2012-01-01,67
2012-01-08,63
2012-01-15,63
2012-01-22,68
2012-01-29,64
2012-02-05,66
2012-02-12,65
2012-02-19,63
2012-02-26,62
2012-03-04,67
2012-03-11,72
2012-03-18,72
2012-03-25,75
2012-04-01,70
2012-04-08,73
2012-04-15,76
2012-04-22,80
2012-04-29,79
2012-05-06,77
2012-05-13,80
2012-05-20,84
2012-05-27,86
2012-06-03,83
2012-06-10,83
2012-06-17,80
2012-06-24,89
2012-07-01,90
2012-07-08,88
2012-07-15,83
2012-07-22,78
2012-07-29,73
2012-08-05,73
2012-08-12,74
2012-08-19,69
2012-08-26,72
2012-09-02,72
2012-09-09,72
2012-09-16,78
2012-09-23,80
2012-09-30,76
2012-10-07,70
2012-10-14,70
2012-10-21,67
2012-10-28,66
2012-11-04,62
2012-11-11,63
2012-11-18,64
2012-11-25,69
2012-12-02,69
2012-12-09,69
2012-12-16,66
2012-12-23,59
2012-12-30,58
2013-01-06,61
2013-01-13,58
2013-01-20,59
2013-01-27,61
2013-02-03,62
2013-02-10,62
2013-02-17,63
2013-02-24,64
2013-03-03,63
2013-03-10,68
2013-03-17,67
2013-03-24,70
2013-03-31,69
2013-04-07,77
2013-04-14,77
2013-04-21,72
2013-04-28,76
2013-05-05,80
2013-05-12,100
2013-05-19,97
2013-05-26,88
2013-06-02,86
2013-06-09,85
2013-06-16,84
2013-06-23,91
2013-06-30,89
2013-07-07,85
2013-07-14,82
2013-07-21,82
2013-07-28,76
2013-08-04,75
2013-08-11,71
2013-08-18,72
2013-08-25,67
2013-09-01,68
2013-09-08,70
2013-09-15,73
2013-09-22,65
2013-09-29,66
2013-10-06,68
2013-10-13,71
2013-10-20,66
2013-10-27,66
2013-11-03,65
2013-11-10,64
2013-11-17,67
2013-11-24,63
2013-12-01,64
2013-12-08,60
2013-12-15,58
2013-12-22,58
2013-12-29,58
2014-01-05,58
2014-01-12,59
2014-01-19,59
2014-01-26,62
2014-02-02,62
2014-02-09,62
2014-02-16,63
2014-02-23,64
2014-03-02,65
2014-03-09,64
2014-03-16,65
2014-03-23,71
2014-03-30,74
2014-04-06,76
2014-04-13,73
2014-04-20,75
2014-04-27,81
2014-05-04,79
2014-05-11,83
2014-05-18,80
2014-05-25,83
2014-06-01,82
2014-06-08,81
2014-06-15,83
2014-06-22,88
2014-06-29,93
2014-07-06,94
2014-07-13,91
2014-07-20,84
2014-07-27,84
2014-08-03,78
2014-08-10,79
2014-08-17,72
2014-08-24,69
2014-08-31,72
2014-09-07,67
2014-09-14,65
2014-09-21,64
2014-09-28,83
2014-10-05,72
2014-10-12,87
2014-10-19,79
2014-10-26,69
2014-11-02,68
2014-11-09,66
2014-11-16,63
2014-11-23,64
2014-11-30,70
2014-12-07,70
2014-12-14,62
2014-12-21,57
2014-12-28,56
2015-01-04,57
2015-01-11,57
2015-01-18,59
2015-01-25,57
2015-02-01,58
2015-02-08,55
2015-02-15,56
2015-02-22,57
2015-03-01,61
2015-03-08,64
2015-03-15,64
2015-03-22,66
2015-03-29,68
2015-04-05,70
2015-04-12,73
2015-04-19,77
2015-04-26,75
2015-05-03,79
2015-05-10,79
2015-05-17,83
2015-05-24,82
2015-05-31,81
2015-06-07,84
2015-06-14,88
2015-06-21,86
2015-06-28,83
2015-07-05,83
2015-07-12,79
2015-07-19,81
2015-07-26,80
2015-08-02,74
2015-08-09,77
2015-08-16,76
2015-08-23,69
2015-08-30,69
2015-09-06,72
2015-09-13,72
2015-09-20,70
2015-09-27,75
2015-10-04,69
2015-10-11,64
2015-10-18,65
2015-10-25,67
2015-11-01,64
2015-11-08,64
2015-11-15,65
2015-11-22,60
2015-11-29,65
2015-12-06,61
2015-12-13,62
2015-12-20,58
2015-12-27,57
