Category: All categories

Week,leading strings: (Worldwide)
2012-01-01,56
2012-01-08,26
2012-01-15,26
2012-01-22,26
2012-01-29,51
2012-02-05,60
2012-02-12,26
2012-02-19,65
2012-02-26,69
2012-03-04,52
2012-03-11,25
2012-03-18,43
2012-03-25,60
2012-04-01,45
2012-04-08,67
2012-04-15,51
2012-04-22,43
2012-04-29,39
2012-05-06,25
2012-05-13,26
2012-05-20,63
2012-05-27,25
2012-06-03,68
2012-06-10,67
2012-06-17,50
2012-06-24,60
2012-07-01,51
2012-07-08,64
2012-07-15,0
2012-07-22,52
2012-07-29,78
2012-08-05,26
2012-08-12,52
2012-08-19,39
2012-08-26,67
2012-09-02,33
2012-09-09,81
2012-09-16,33
2012-09-23,73
2012-09-30,24
2012-10-07,70
2012-10-14,54
2012-10-21,54
2012-10-28,70
2012-11-04,45
2012-11-11,53
2012-11-18,53
2012-11-25,30
2012-12-02,44
2012-12-09,53
2012-12-16,61
2012-12-23,100
2012-12-30,24
2013-01-06,50
2013-01-13,56
2013-01-20,63
2013-01-27,28
2013-02-03,63
2013-02-10,21
2013-02-17,56
2013-02-24,48
2013-03-03,34
2013-03-10,51
2013-03-17,34
2013-03-24,63
2013-03-31,31
2013-04-07,47
2013-04-14,62
2013-04-21,55
2013-04-28,35
2013-05-05,62
2013-05-12,47
2013-05-19,40
2013-05-26,20
2013-06-02,41
2013-06-09,30
2013-06-16,20
2013-06-23,61
2013-06-30,42
2013-07-07,56
2013-07-14,42
2013-07-21,52
2013-07-28,62
2013-08-04,28
2013-08-11,55
2013-08-18,41
2013-08-25,20
2013-09-01,0
2013-09-08,52
2013-09-15,39
2013-09-22,39
2013-09-29,26
2013-10-06,52
2013-10-13,52
2013-10-20,57
2013-10-27,19
2013-11-03,31
2013-11-10,28
2013-11-17,19
2013-11-24,57
2013-12-01,55
2013-12-08,44
2013-12-15,57
2013-12-22,50
2013-12-29,61
2014-01-05,55
2014-01-12,36
2014-01-19,36
2014-01-26,72
2014-02-02,57
2014-02-09,29
2014-02-16,71
2014-02-23,35
2014-03-02,71
2014-03-09,48
2014-03-16,71
2014-03-23,65
2014-03-30,47
2014-04-06,30
2014-04-13,25
2014-04-20,37
2014-04-27,36
2014-05-04,54
2014-05-11,41
2014-05-18,56
2014-05-25,60
2014-06-01,60
2014-06-08,54
2014-06-15,27
2014-06-22,40
2014-06-29,27
2014-07-06,34
2014-07-13,81
2014-07-20,30
2014-07-27,41
2014-08-03,35
2014-08-10,40
2014-08-17,46
2014-08-24,59
2014-08-31,32
2014-09-07,62
2014-09-14,25
2014-09-21,37
2014-09-28,38
2014-10-05,28
2014-10-12,49
2014-10-19,79
2014-10-26,49
2014-11-02,43
2014-11-09,27
2014-11-16,61
2014-11-23,30
2014-11-30,54
2014-12-07,64
2014-12-14,93
2014-12-21,20
2014-12-28,20
2015-01-04,41
2015-01-11,52
2015-01-18,17
2015-01-25,34
2015-02-01,34
2015-02-08,68
2015-02-15,52
2015-02-22,51
2015-03-01,67
2015-03-08,62
2015-03-15,28
2015-03-22,27
2015-03-29,52
2015-04-05,52
2015-04-12,25
2015-04-19,39
2015-04-26,46
2015-05-03,68
2015-05-10,40
2015-05-17,45
2015-05-24,51
2015-05-31,57
2015-06-07,51
2015-06-14,45
2015-06-21,34
2015-06-28,46
2015-07-05,57
2015-07-12,46
2015-07-19,52
2015-07-26,17
2015-08-02,43
2015-08-09,40
2015-08-16,34
2015-08-23,33
2015-08-30,33
2015-09-06,65
2015-09-13,43
2015-09-20,43
2015-09-27,32
2015-10-04,63
2015-10-11,39
2015-10-18,40
2015-10-25,47
2015-11-01,42
2015-11-08,84
2015-11-15,52
2015-11-22,55
2015-11-29,31
2015-12-06,47
2015-12-13,49
2015-12-20,42
2015-12-27,53
