Category: All categories

Week,undershirt: (Worldwide)
2012-01-01,53
2012-01-08,53
2012-01-15,53
2012-01-22,48
2012-01-29,52
2012-02-05,58
2012-02-12,50
2012-02-19,58
2012-02-26,53
2012-03-04,54
2012-03-11,56
2012-03-18,54
2012-03-25,56
2012-04-01,54
2012-04-08,57
2012-04-15,62
2012-04-22,64
2012-04-29,55
2012-05-06,47
2012-05-13,59
2012-05-20,54
2012-05-27,53
2012-06-03,45
2012-06-10,50
2012-06-17,53
2012-06-24,56
2012-07-01,58
2012-07-08,61
2012-07-15,48
2012-07-22,62
2012-07-29,59
2012-08-05,63
2012-08-12,64
2012-08-19,59
2012-08-26,60
2012-09-02,57
2012-09-09,63
2012-09-16,62
2012-09-23,54
2012-09-30,60
2012-10-07,60
2012-10-14,55
2012-10-21,55
2012-10-28,55
2012-11-04,57
2012-11-11,56
2012-11-18,55
2012-11-25,67
2012-12-02,69
2012-12-09,59
2012-12-16,60
2012-12-23,61
2012-12-30,74
2013-01-06,55
2013-01-13,55
2013-01-20,65
2013-01-27,58
2013-02-03,54
2013-02-10,62
2013-02-17,55
2013-02-24,60
2013-03-03,58
2013-03-10,61
2013-03-17,58
2013-03-24,53
2013-03-31,59
2013-04-07,61
2013-04-14,61
2013-04-21,64
2013-04-28,62
2013-05-05,66
2013-05-12,66
2013-05-19,58
2013-05-26,60
2013-06-02,58
2013-06-09,61
2013-06-16,60
2013-06-23,57
2013-06-30,58
2013-07-07,58
2013-07-14,53
2013-07-21,56
2013-07-28,61
2013-08-04,68
2013-08-11,60
2013-08-18,68
2013-08-25,59
2013-09-01,65
2013-09-08,62
2013-09-15,56
2013-09-22,56
2013-09-29,63
2013-10-06,62
2013-10-13,65
2013-10-20,66
2013-10-27,57
2013-11-03,61
2013-11-10,65
2013-11-17,57
2013-11-24,69
2013-12-01,79
2013-12-08,75
2013-12-15,66
2013-12-22,62
2013-12-29,69
2014-01-05,66
2014-01-12,54
2014-01-19,55
2014-01-26,58
2014-02-02,53
2014-02-09,54
2014-02-16,57
2014-02-23,53
2014-03-02,63
2014-03-09,60
2014-03-16,54
2014-03-23,64
2014-03-30,59
2014-04-06,63
2014-04-13,71
2014-04-20,69
2014-04-27,71
2014-05-04,63
2014-05-11,66
2014-05-18,79
2014-05-25,69
2014-06-01,74
2014-06-08,75
2014-06-15,67
2014-06-22,69
2014-06-29,66
2014-07-06,57
2014-07-13,55
2014-07-20,74
2014-07-27,66
2014-08-03,69
2014-08-10,65
2014-08-17,71
2014-08-24,66
2014-08-31,69
2014-09-07,70
2014-09-14,63
2014-09-21,76
2014-09-28,71
2014-10-05,66
2014-10-12,61
2014-10-19,70
2014-10-26,73
2014-11-02,70
2014-11-09,74
2014-11-16,77
2014-11-23,69
2014-11-30,83
2014-12-07,82
2014-12-14,81
2014-12-21,60
2014-12-28,79
2015-01-04,64
2015-01-11,74
2015-01-18,60
2015-01-25,53
2015-02-01,64
2015-02-08,74
2015-02-15,73
2015-02-22,67
2015-03-01,73
2015-03-08,68
2015-03-15,73
2015-03-22,71
2015-03-29,70
2015-04-05,70
2015-04-12,70
2015-04-19,64
2015-04-26,70
2015-05-03,62
2015-05-10,68
2015-05-17,78
2015-05-24,78
2015-05-31,80
2015-06-07,92
2015-06-14,79
2015-06-21,80
2015-06-28,71
2015-07-05,65
2015-07-12,76
2015-07-19,74
2015-07-26,73
2015-08-02,77
2015-08-09,71
2015-08-16,76
2015-08-23,69
2015-08-30,80
2015-09-06,75
2015-09-13,70
2015-09-20,90
2015-09-27,88
2015-10-04,78
2015-10-11,83
2015-10-18,81
2015-10-25,83
2015-11-01,81
2015-11-08,83
2015-11-15,83
2015-11-22,84
2015-11-29,82
2015-12-06,100
2015-12-13,81
2015-12-20,74
2015-12-27,94
