Category: All categories

Week,uniform: (Worldwide)
2012-01-01,73
2012-01-08,74
2012-01-15,76
2012-01-22,80
2012-01-29,79
2012-02-05,79
2012-02-12,70
2012-02-19,73
2012-02-26,75
2012-03-04,75
2012-03-11,73
2012-03-18,76
2012-03-25,74
2012-04-01,90
2012-04-08,71
2012-04-15,76
2012-04-22,76
2012-04-29,75
2012-05-06,74
2012-05-13,74
2012-05-20,72
2012-05-27,77
2012-06-03,72
2012-06-10,75
2012-06-17,73
2012-06-24,78
2012-07-01,76
2012-07-08,85
2012-07-15,88
2012-07-22,92
2012-07-29,100
2012-08-05,93
2012-08-12,94
2012-08-19,94
2012-08-26,94
2012-09-02,93
2012-09-09,88
2012-09-16,86
2012-09-23,85
2012-09-30,83
2012-10-07,83
2012-10-14,82
2012-10-21,86
2012-10-28,80
2012-11-04,79
2012-11-11,79
2012-11-18,73
2012-11-25,74
2012-12-02,73
2012-12-09,70
2012-12-16,63
2012-12-23,54
2012-12-30,67
2013-01-06,74
2013-01-13,75
2013-01-20,76
2013-01-27,79
2013-02-03,78
2013-02-10,75
2013-02-17,72
2013-02-24,76
2013-03-03,75
2013-03-10,75
2013-03-17,72
2013-03-24,69
2013-03-31,72
2013-04-07,74
2013-04-14,80
2013-04-21,83
2013-04-28,77
2013-05-05,73
2013-05-12,72
2013-05-19,72
2013-05-26,70
2013-06-02,74
2013-06-09,70
2013-06-16,71
2013-06-23,71
2013-06-30,69
2013-07-07,72
2013-07-14,77
2013-07-21,81
2013-07-28,82
2013-08-04,88
2013-08-11,89
2013-08-18,92
2013-08-25,91
2013-09-01,90
2013-09-08,87
2013-09-15,84
2013-09-22,82
2013-09-29,80
2013-10-06,83
2013-10-13,81
2013-10-20,84
2013-10-27,81
2013-11-03,82
2013-11-10,80
2013-11-17,76
2013-11-24,65
2013-12-01,71
2013-12-08,70
2013-12-15,62
2013-12-22,53
2013-12-29,63
2014-01-05,72
2014-01-12,76
2014-01-19,81
2014-01-26,82
2014-02-02,85
2014-02-09,78
2014-02-16,76
2014-02-23,77
2014-03-02,84
2014-03-09,75
2014-03-16,75
2014-03-23,74
2014-03-30,75
2014-04-06,74
2014-04-13,72
2014-04-20,74
2014-04-27,76
2014-05-04,79
2014-05-11,72
2014-05-18,73
2014-05-25,71
2014-06-01,75
2014-06-08,74
2014-06-15,75
2014-06-22,76
2014-06-29,72
2014-07-06,80
2014-07-13,81
2014-07-20,85
2014-07-27,87
2014-08-03,92
2014-08-10,96
2014-08-17,97
2014-08-24,99
2014-08-31,96
2014-09-07,87
2014-09-14,93
2014-09-21,84
2014-09-28,82
2014-10-05,82
2014-10-12,81
2014-10-19,80
2014-10-26,86
2014-11-02,83
2014-11-09,81
2014-11-16,76
2014-11-23,67
2014-11-30,75
2014-12-07,73
2014-12-14,66
2014-12-21,54
2014-12-28,64
2015-01-04,75
2015-01-11,79
2015-01-18,77
2015-01-25,79
2015-02-01,80
2015-02-08,75
2015-02-15,70
2015-02-22,75
2015-03-01,78
2015-03-08,76
2015-03-15,76
2015-03-22,75
2015-03-29,71
2015-04-05,74
2015-04-12,83
2015-04-19,81
2015-04-26,80
2015-05-03,76
2015-05-10,76
2015-05-17,74
2015-05-24,71
2015-05-31,80
2015-06-07,77
2015-06-14,74
2015-06-21,76
2015-06-28,78
2015-07-05,80
2015-07-12,82
2015-07-19,86
2015-07-26,89
2015-08-02,94
2015-08-09,97
2015-08-16,98
2015-08-23,98
2015-08-30,99
2015-09-06,91
2015-09-13,90
2015-09-20,85
2015-09-27,84
2015-10-04,84
2015-10-11,83
2015-10-18,83
2015-10-25,84
2015-11-01,83
2015-11-08,85
2015-11-15,84
2015-11-22,73
2015-11-29,74
2015-12-06,73
2015-12-13,69
2015-12-20,57
2015-12-27,62
