Category: All categories

Week,visor: (Worldwide)
2012-01-01,76
2012-01-08,77
2012-01-15,75
2012-01-22,77
2012-01-29,76
2012-02-05,77
2012-02-12,77
2012-02-19,82
2012-02-26,84
2012-03-04,83
2012-03-11,85
2012-03-18,85
2012-03-25,85
2012-04-01,82
2012-04-08,91
2012-04-15,90
2012-04-22,86
2012-04-29,82
2012-05-06,87
2012-05-13,86
2012-05-20,86
2012-05-27,88
2012-06-03,82
2012-06-10,91
2012-06-17,87
2012-06-24,84
2012-07-01,82
2012-07-08,89
2012-07-15,89
2012-07-22,91
2012-07-29,89
2012-08-05,91
2012-08-12,85
2012-08-19,86
2012-08-26,84
2012-09-02,85
2012-09-09,87
2012-09-16,83
2012-09-23,87
2012-09-30,83
2012-10-07,78
2012-10-14,82
2012-10-21,85
2012-10-28,72
2012-11-04,76
2012-11-11,80
2012-11-18,80
2012-11-25,83
2012-12-02,75
2012-12-09,79
2012-12-16,72
2012-12-23,70
2012-12-30,73
2013-01-06,71
2013-01-13,73
2013-01-20,77
2013-01-27,75
2013-02-03,74
2013-02-10,74
2013-02-17,78
2013-02-24,79
2013-03-03,79
2013-03-10,83
2013-03-17,77
2013-03-24,75
2013-03-31,78
2013-04-07,85
2013-04-14,88
2013-04-21,88
2013-04-28,84
2013-05-05,87
2013-05-12,83
2013-05-19,84
2013-05-26,82
2013-06-02,86
2013-06-09,86
2013-06-16,87
2013-06-23,85
2013-06-30,85
2013-07-07,87
2013-07-14,85
2013-07-21,83
2013-07-28,82
2013-08-04,85
2013-08-11,85
2013-08-18,84
2013-08-25,85
2013-09-01,83
2013-09-08,86
2013-09-15,80
2013-09-22,81
2013-09-29,80
2013-10-06,83
2013-10-13,81
2013-10-20,79
2013-10-27,74
2013-11-03,77
2013-11-10,75
2013-11-17,74
2013-11-24,76
2013-12-01,79
2013-12-08,78
2013-12-15,76
2013-12-22,69
2013-12-29,73
2014-01-05,74
2014-01-12,76
2014-01-19,82
2014-01-26,75
2014-02-02,78
2014-02-09,78
2014-02-16,82
2014-02-23,81
2014-03-02,81
2014-03-09,87
2014-03-16,83
2014-03-23,83
2014-03-30,86
2014-04-06,87
2014-04-13,84
2014-04-20,88
2014-04-27,95
2014-05-04,99
2014-05-11,93
2014-05-18,89
2014-05-25,90
2014-06-01,89
2014-06-08,88
2014-06-15,86
2014-06-22,90
2014-06-29,90
2014-07-06,91
2014-07-13,89
2014-07-20,94
2014-07-27,94
2014-08-03,97
2014-08-10,91
2014-08-17,88
2014-08-24,90
2014-08-31,86
2014-09-07,85
2014-09-14,85
2014-09-21,87
2014-09-28,84
2014-10-05,81
2014-10-12,85
2014-10-19,85
2014-10-26,86
2014-11-02,82
2014-11-09,81
2014-11-16,81
2014-11-23,85
2014-11-30,82
2014-12-07,83
2014-12-14,80
2014-12-21,73
2014-12-28,75
2015-01-04,76
2015-01-11,78
2015-01-18,77
2015-01-25,81
2015-02-01,83
2015-02-08,80
2015-02-15,80
2015-02-22,82
2015-03-01,84
2015-03-08,87
2015-03-15,87
2015-03-22,90
2015-03-29,85
2015-04-05,89
2015-04-12,92
2015-04-19,90
2015-04-26,90
2015-05-03,92
2015-05-10,91
2015-05-17,94
2015-05-24,93
2015-05-31,92
2015-06-07,95
2015-06-14,96
2015-06-21,94
2015-06-28,92
2015-07-05,92
2015-07-12,94
2015-07-19,95
2015-07-26,95
2015-08-02,100
2015-08-09,97
2015-08-16,95
2015-08-23,93
2015-08-30,94
2015-09-06,92
2015-09-13,91
2015-09-20,91
2015-09-27,91
2015-10-04,91
2015-10-11,92
2015-10-18,93
2015-10-25,90
2015-11-01,88
2015-11-08,83
2015-11-15,79
2015-11-22,87
2015-11-29,89
2015-12-06,84
2015-12-13,89
2015-12-20,83
2015-12-27,81
