Category: All categories

Week,wader: (Worldwide)
2012-01-01,40
2012-01-08,38
2012-01-15,37
2012-01-22,34
2012-01-29,34
2012-02-05,45
2012-02-12,38
2012-02-19,36
2012-02-26,42
2012-03-04,39
2012-03-11,44
2012-03-18,39
2012-03-25,43
2012-04-01,39
2012-04-08,40
2012-04-15,38
2012-04-22,32
2012-04-29,61
2012-05-06,44
2012-05-13,35
2012-05-20,38
2012-05-27,39
2012-06-03,39
2012-06-10,39
2012-06-17,49
2012-06-24,43
2012-07-01,33
2012-07-08,43
2012-07-15,41
2012-07-22,37
2012-07-29,39
2012-08-05,45
2012-08-12,38
2012-08-19,46
2012-08-26,40
2012-09-02,39
2012-09-09,42
2012-09-16,41
2012-09-23,39
2012-09-30,43
2012-10-07,41
2012-10-14,40
2012-10-21,42
2012-10-28,43
2012-11-04,48
2012-11-11,51
2012-11-18,60
2012-11-25,57
2012-12-02,59
2012-12-09,61
2012-12-16,53
2012-12-23,44
2012-12-30,35
2013-01-06,36
2013-01-13,34
2013-01-20,32
2013-01-27,32
2013-02-03,33
2013-02-10,35
2013-02-17,38
2013-02-24,33
2013-03-03,38
2013-03-10,49
2013-03-17,100
2013-03-24,48
2013-03-31,37
2013-04-07,36
2013-04-14,38
2013-04-21,37
2013-04-28,32
2013-05-05,35
2013-05-12,34
2013-05-19,33
2013-05-26,35
2013-06-02,29
2013-06-09,33
2013-06-16,35
2013-06-23,38
2013-06-30,34
2013-07-07,32
2013-07-14,32
2013-07-21,25
2013-07-28,34
2013-08-04,31
2013-08-11,31
2013-08-18,32
2013-08-25,36
2013-09-01,33
2013-09-08,31
2013-09-15,34
2013-09-22,36
2013-09-29,40
2013-10-06,45
2013-10-13,35
2013-10-20,38
2013-10-27,46
2013-11-03,48
2013-11-10,53
2013-11-17,54
2013-11-24,58
2013-12-01,62
2013-12-08,56
2013-12-15,50
2013-12-22,41
2013-12-29,42
2014-01-05,37
2014-01-12,36
2014-01-19,33
2014-01-26,33
2014-02-02,35
2014-02-09,33
2014-02-16,31
2014-02-23,34
2014-03-02,32
2014-03-09,33
2014-03-16,31
2014-03-23,36
2014-03-30,42
2014-04-06,38
2014-04-13,37
2014-04-20,33
2014-04-27,32
2014-05-04,35
2014-05-11,34
2014-05-18,31
2014-05-25,39
2014-06-01,27
2014-06-08,31
2014-06-15,26
2014-06-22,30
2014-06-29,36
2014-07-06,32
2014-07-13,28
2014-07-20,33
2014-07-27,30
2014-08-03,30
2014-08-10,37
2014-08-17,32
2014-08-24,33
2014-08-31,37
2014-09-07,35
2014-09-14,38
2014-09-21,37
2014-09-28,35
2014-10-05,36
2014-10-12,35
2014-10-19,36
2014-10-26,40
2014-11-02,46
2014-11-09,45
2014-11-16,52
2014-11-23,55
2014-11-30,55
2014-12-07,52
2014-12-14,47
2014-12-21,43
2014-12-28,39
2015-01-04,36
2015-01-11,34
2015-01-18,33
2015-01-25,33
2015-02-01,30
2015-02-08,36
2015-02-15,35
2015-02-22,41
2015-03-01,38
2015-03-08,32
2015-03-15,36
2015-03-22,36
2015-03-29,46
2015-04-05,34
2015-04-12,38
2015-04-19,36
2015-04-26,40
2015-05-03,42
2015-05-10,36
2015-05-17,37
2015-05-24,38
2015-05-31,34
2015-06-07,34
2015-06-14,36
2015-06-21,38
2015-06-28,32
2015-07-05,38
2015-07-12,36
2015-07-19,32
2015-07-26,33
2015-08-02,32
2015-08-09,41
2015-08-16,36
2015-08-23,34
2015-08-30,34
2015-09-06,34
2015-09-13,33
2015-09-20,35
2015-09-27,38
2015-10-04,38
2015-10-11,38
2015-10-18,46
2015-10-25,39
2015-11-01,40
2015-11-08,49
2015-11-15,53
2015-11-22,64
2015-11-29,58
2015-12-06,59
2015-12-13,68
2015-12-20,61
2015-12-27,55
