Category: All categories

Week,waistcoat: (Worldwide)
2012-01-01,44
2012-01-08,45
2012-01-15,43
2012-01-22,46
2012-01-29,40
2012-02-05,45
2012-02-12,45
2012-02-19,45
2012-02-26,42
2012-03-04,42
2012-03-11,44
2012-03-18,43
2012-03-25,42
2012-04-01,44
2012-04-08,50
2012-04-15,44
2012-04-22,45
2012-04-29,45
2012-05-06,48
2012-05-13,48
2012-05-20,43
2012-05-27,47
2012-06-03,51
2012-06-10,49
2012-06-17,48
2012-06-24,48
2012-07-01,45
2012-07-08,46
2012-07-15,47
2012-07-22,40
2012-07-29,42
2012-08-05,45
2012-08-12,45
2012-08-19,43
2012-08-26,47
2012-09-02,46
2012-09-09,43
2012-09-16,49
2012-09-23,49
2012-09-30,51
2012-10-07,51
2012-10-14,57
2012-10-21,52
2012-10-28,49
2012-11-04,48
2012-11-11,52
2012-11-18,51
2012-11-25,65
2012-12-02,58
2012-12-09,57
2012-12-16,47
2012-12-23,49
2012-12-30,53
2013-01-06,49
2013-01-13,52
2013-01-20,50
2013-01-27,49
2013-02-03,45
2013-02-10,47
2013-02-17,46
2013-02-24,47
2013-03-03,51
2013-03-10,51
2013-03-17,50
2013-03-24,55
2013-03-31,48
2013-04-07,53
2013-04-14,51
2013-04-21,53
2013-04-28,50
2013-05-05,50
2013-05-12,53
2013-05-19,50
2013-05-26,53
2013-06-02,50
2013-06-09,52
2013-06-16,56
2013-06-23,53
2013-06-30,50
2013-07-07,48
2013-07-14,49
2013-07-21,49
2013-07-28,49
2013-08-04,57
2013-08-11,51
2013-08-18,49
2013-08-25,51
2013-09-01,47
2013-09-08,53
2013-09-15,53
2013-09-22,51
2013-09-29,58
2013-10-06,59
2013-10-13,61
2013-10-20,62
2013-10-27,62
2013-11-03,60
2013-11-10,63
2013-11-17,69
2013-11-24,70
2013-12-01,71
2013-12-08,71
2013-12-15,61
2013-12-22,56
2013-12-29,73
2014-01-05,60
2014-01-12,63
2014-01-19,67
2014-01-26,65
2014-02-02,61
2014-02-09,56
2014-02-16,57
2014-02-23,65
2014-03-02,63
2014-03-09,59
2014-03-16,60
2014-03-23,59
2014-03-30,63
2014-04-06,66
2014-04-13,64
2014-04-20,63
2014-04-27,63
2014-05-04,70
2014-05-11,62
2014-05-18,59
2014-05-25,61
2014-06-01,64
2014-06-08,57
2014-06-15,58
2014-06-22,65
2014-06-29,59
2014-07-06,58
2014-07-13,51
2014-07-20,55
2014-07-27,60
2014-08-03,55
2014-08-10,61
2014-08-17,64
2014-08-24,55
2014-08-31,64
2014-09-07,61
2014-09-14,63
2014-09-21,64
2014-09-28,68
2014-10-05,72
2014-10-12,71
2014-10-19,74
2014-10-26,77
2014-11-02,73
2014-11-09,73
2014-11-16,80
2014-11-23,87
2014-11-30,90
2014-12-07,84
2014-12-14,74
2014-12-21,71
2014-12-28,82
2015-01-04,72
2015-01-11,77
2015-01-18,70
2015-01-25,76
2015-02-01,77
2015-02-08,73
2015-02-15,71
2015-02-22,72
2015-03-01,71
2015-03-08,75
2015-03-15,69
2015-03-22,74
2015-03-29,76
2015-04-05,74
2015-04-12,70
2015-04-19,71
2015-04-26,81
2015-05-03,71
2015-05-10,74
2015-05-17,77
2015-05-24,76
2015-05-31,78
2015-06-07,70
2015-06-14,73
2015-06-21,70
2015-06-28,69
2015-07-05,69
2015-07-12,76
2015-07-19,75
2015-07-26,71
2015-08-02,72
2015-08-09,73
2015-08-16,73
2015-08-23,80
2015-08-30,76
2015-09-06,78
2015-09-13,81
2015-09-20,78
2015-09-27,79
2015-10-04,79
2015-10-11,84
2015-10-18,86
2015-10-25,89
2015-11-01,81
2015-11-08,87
2015-11-15,88
2015-11-22,95
2015-11-29,100
2015-12-06,99
2015-12-13,93
2015-12-20,78
2015-12-27,93
