Category: All categories

Week,Wellingtons: (Worldwide)
2012-01-01,66
2012-01-08,52
2012-01-15,54
2012-01-22,51
2012-01-29,59
2012-02-05,74
2012-02-12,51
2012-02-19,42
2012-02-26,36
2012-03-04,45
2012-03-11,46
2012-03-18,47
2012-03-25,36
2012-04-01,40
2012-04-08,43
2012-04-15,51
2012-04-22,64
2012-04-29,72
2012-05-06,52
2012-05-13,46
2012-05-20,39
2012-05-27,30
2012-06-03,57
2012-06-10,57
2012-06-17,63
2012-06-24,72
2012-07-01,70
2012-07-08,94
2012-07-15,79
2012-07-22,52
2012-07-29,53
2012-08-05,41
2012-08-12,51
2012-08-19,64
2012-08-26,73
2012-09-02,53
2012-09-09,58
2012-09-16,66
2012-09-23,87
2012-09-30,74
2012-10-07,73
2012-10-14,71
2012-10-21,64
2012-10-28,81
2012-11-04,80
2012-11-11,74
2012-11-18,86
2012-11-25,86
2012-12-02,100
2012-12-09,79
2012-12-16,76
2012-12-23,81
2012-12-30,83
2013-01-06,62
2013-01-13,95
2013-01-20,99
2013-01-27,61
2013-02-03,49
2013-02-10,66
2013-02-17,47
2013-02-24,33
2013-03-03,39
2013-03-10,53
2013-03-17,51
2013-03-24,65
2013-03-31,47
2013-04-07,40
2013-04-14,50
2013-04-21,44
2013-04-28,43
2013-05-05,38
2013-05-12,47
2013-05-19,38
2013-05-26,45
2013-06-02,40
2013-06-09,47
2013-06-16,43
2013-06-23,50
2013-06-30,38
2013-07-07,32
2013-07-14,23
2013-07-21,40
2013-07-28,37
2013-08-04,42
2013-08-11,50
2013-08-18,52
2013-08-25,50
2013-09-01,47
2013-09-08,64
2013-09-15,77
2013-09-22,59
2013-09-29,66
2013-10-06,56
2013-10-13,70
2013-10-20,75
2013-10-27,66
2013-11-03,74
2013-11-10,80
2013-11-17,64
2013-11-24,68
2013-12-01,67
2013-12-08,74
2013-12-15,59
2013-12-22,76
2013-12-29,79
2014-01-05,65
2014-01-12,59
2014-01-19,69
2014-01-26,54
2014-02-02,61
2014-02-09,75
2014-02-16,61
2014-02-23,51
2014-03-02,50
2014-03-09,48
2014-03-16,44
2014-03-23,43
2014-03-30,41
2014-04-06,42
2014-04-13,31
2014-04-20,32
2014-04-27,48
2014-05-04,40
2014-05-11,41
2014-05-18,33
2014-05-25,42
2014-06-01,34
2014-06-08,32
2014-06-15,50
2014-06-22,34
2014-06-29,35
2014-07-06,27
2014-07-13,36
2014-07-20,30
2014-07-27,31
2014-08-03,36
2014-08-10,44
2014-08-17,53
2014-08-24,55
2014-08-31,44
2014-09-07,36
2014-09-14,44
2014-09-21,47
2014-09-28,49
2014-10-05,72
2014-10-12,65
2014-10-19,46
2014-10-26,54
2014-11-02,55
2014-11-09,69
2014-11-16,84
2014-11-23,79
2014-11-30,77
2014-12-07,77
2014-12-14,57
2014-12-21,60
2014-12-28,70
2015-01-04,52
2015-01-11,51
2015-01-18,54
2015-01-25,51
2015-02-01,42
2015-02-08,48
2015-02-15,47
2015-02-22,41
2015-03-01,41
2015-03-08,42
2015-03-15,42
2015-03-22,32
2015-03-29,41
2015-04-05,35
2015-04-12,37
2015-04-19,33
2015-04-26,33
2015-05-03,39
2015-05-10,32
2015-05-17,40
2015-05-24,38
2015-05-31,40
2015-06-07,34
2015-06-14,38
2015-06-21,31
2015-06-28,35
2015-07-05,35
2015-07-12,30
2015-07-19,35
2015-07-26,45
2015-08-02,40
2015-08-09,35
2015-08-16,35
2015-08-23,58
2015-08-30,52
2015-09-06,48
2015-09-13,54
2015-09-20,47
2015-09-27,42
2015-10-04,50
2015-10-11,38
2015-10-18,58
2015-10-25,59
2015-11-01,63
2015-11-08,62
2015-11-15,63
2015-11-22,76
2015-11-29,69
2015-12-06,60
2015-12-13,65
2015-12-20,74
2015-12-27,78
