Category: All categories

Week,wig: (Worldwide)
2012-01-01,39
2012-01-08,38
2012-01-15,40
2012-01-22,39
2012-01-29,40
2012-02-05,41
2012-02-12,40
2012-02-19,41
2012-02-26,43
2012-03-04,40
2012-03-11,39
2012-03-18,39
2012-03-25,38
2012-04-01,41
2012-04-08,39
2012-04-15,42
2012-04-22,43
2012-04-29,42
2012-05-06,42
2012-05-13,42
2012-05-20,48
2012-05-27,44
2012-06-03,42
2012-06-10,39
2012-06-17,39
2012-06-24,38
2012-07-01,39
2012-07-08,40
2012-07-15,40
2012-07-22,39
2012-07-29,38
2012-08-05,40
2012-08-12,42
2012-08-19,41
2012-08-26,40
2012-09-02,44
2012-09-09,44
2012-09-16,48
2012-09-23,51
2012-09-30,57
2012-10-07,58
2012-10-14,67
2012-10-21,77
2012-10-28,54
2012-11-04,38
2012-11-11,39
2012-11-18,38
2012-11-25,39
2012-12-02,40
2012-12-09,38
2012-12-16,35
2012-12-23,36
2012-12-30,39
2013-01-06,39
2013-01-13,43
2013-01-20,43
2013-01-27,41
2013-02-03,43
2013-02-10,41
2013-02-17,41
2013-02-24,43
2013-03-03,42
2013-03-10,42
2013-03-17,41
2013-03-24,41
2013-03-31,40
2013-04-07,42
2013-04-14,40
2013-04-21,40
2013-04-28,39
2013-05-05,40
2013-05-12,42
2013-05-19,39
2013-05-26,40
2013-06-02,40
2013-06-09,40
2013-06-16,41
2013-06-23,39
2013-06-30,39
2013-07-07,40
2013-07-14,39
2013-07-21,42
2013-07-28,42
2013-08-04,43
2013-08-11,43
2013-08-18,43
2013-08-25,42
2013-09-01,45
2013-09-08,46
2013-09-15,47
2013-09-22,50
2013-09-29,56
2013-10-06,61
2013-10-13,65
2013-10-20,74
2013-10-27,67
2013-11-03,42
2013-11-10,42
2013-11-17,41
2013-11-24,41
2013-12-01,42
2013-12-08,41
2013-12-15,38
2013-12-22,39
2013-12-29,45
2014-01-05,45
2014-01-12,44
2014-01-19,46
2014-01-26,44
2014-02-02,47
2014-02-09,44
2014-02-16,45
2014-02-23,46
2014-03-02,47
2014-03-09,44
2014-03-16,43
2014-03-23,44
2014-03-30,43
2014-04-06,45
2014-04-13,43
2014-04-20,43
2014-04-27,44
2014-05-04,44
2014-05-11,43
2014-05-18,43
2014-05-25,43
2014-06-01,42
2014-06-08,41
2014-06-15,42
2014-06-22,45
2014-06-29,43
2014-07-06,42
2014-07-13,44
2014-07-20,46
2014-07-27,46
2014-08-03,45
2014-08-10,45
2014-08-17,50
2014-08-24,48
2014-08-31,46
2014-09-07,47
2014-09-14,52
2014-09-21,54
2014-09-28,60
2014-10-05,63
2014-10-12,68
2014-10-19,74
2014-10-26,84
2014-11-02,46
2014-11-09,44
2014-11-16,44
2014-11-23,42
2014-11-30,43
2014-12-07,42
2014-12-14,41
2014-12-21,40
2014-12-28,46
2015-01-04,43
2015-01-11,45
2015-01-18,44
2015-01-25,45
2015-02-01,43
2015-02-08,50
2015-02-15,49
2015-02-22,49
2015-03-01,48
2015-03-08,45
2015-03-15,44
2015-03-22,44
2015-03-29,44
2015-04-05,44
2015-04-12,44
2015-04-19,42
2015-04-26,46
2015-05-03,43
2015-05-10,44
2015-05-17,43
2015-05-24,43
2015-05-31,43
2015-06-07,42
2015-06-14,42
2015-06-21,42
2015-06-28,43
2015-07-05,44
2015-07-12,44
2015-07-19,44
2015-07-26,44
2015-08-02,46
2015-08-09,49
2015-08-16,46
2015-08-23,48
2015-08-30,47
2015-09-06,51
2015-09-13,53
2015-09-20,59
2015-09-27,61
2015-10-04,67
2015-10-11,72
2015-10-18,81
2015-10-25,100
2015-11-01,49
2015-11-08,52
2015-11-15,46
2015-11-22,43
2015-11-29,47
2015-12-06,47
2015-12-13,46
2015-12-20,45
2015-12-27,49
