Category: All categories

Week,yoke: (Worldwide)
2012-01-01,80
2012-01-08,91
2012-01-15,82
2012-01-22,86
2012-01-29,86
2012-02-05,90
2012-02-12,89
2012-02-19,90
2012-02-26,92
2012-03-04,88
2012-03-11,82
2012-03-18,88
2012-03-25,91
2012-04-01,87
2012-04-08,89
2012-04-15,86
2012-04-22,89
2012-04-29,84
2012-05-06,88
2012-05-13,87
2012-05-20,84
2012-05-27,84
2012-06-03,95
2012-06-10,98
2012-06-17,89
2012-06-24,85
2012-07-01,74
2012-07-08,85
2012-07-15,84
2012-07-22,86
2012-07-29,82
2012-08-05,81
2012-08-12,85
2012-08-19,85
2012-08-26,82
2012-09-02,83
2012-09-09,89
2012-09-16,89
2012-09-23,93
2012-09-30,85
2012-10-07,82
2012-10-14,85
2012-10-21,86
2012-10-28,79
2012-11-04,81
2012-11-11,83
2012-11-18,81
2012-11-25,86
2012-12-02,91
2012-12-09,84
2012-12-16,76
2012-12-23,68
2012-12-30,81
2013-01-06,83
2013-01-13,85
2013-01-20,85
2013-01-27,85
2013-02-03,86
2013-02-10,86
2013-02-17,89
2013-02-24,83
2013-03-03,89
2013-03-10,89
2013-03-17,87
2013-03-24,88
2013-03-31,85
2013-04-07,89
2013-04-14,90
2013-04-21,90
2013-04-28,87
2013-05-05,90
2013-05-12,83
2013-05-19,83
2013-05-26,83
2013-06-02,87
2013-06-09,84
2013-06-16,83
2013-06-23,80
2013-06-30,85
2013-07-07,87
2013-07-14,86
2013-07-21,86
2013-07-28,85
2013-08-04,88
2013-08-11,84
2013-08-18,82
2013-08-25,82
2013-09-01,89
2013-09-08,88
2013-09-15,90
2013-09-22,91
2013-09-29,90
2013-10-06,88
2013-10-13,93
2013-10-20,91
2013-10-27,85
2013-11-03,91
2013-11-10,92
2013-11-17,97
2013-11-24,90
2013-12-01,92
2013-12-08,94
2013-12-15,79
2013-12-22,72
2013-12-29,74
2014-01-05,86
2014-01-12,88
2014-01-19,89
2014-01-26,88
2014-02-02,85
2014-02-09,87
2014-02-16,94
2014-02-23,97
2014-03-02,97
2014-03-09,96
2014-03-16,96
2014-03-23,94
2014-03-30,96
2014-04-06,89
2014-04-13,93
2014-04-20,92
2014-04-27,91
2014-05-04,95
2014-05-11,88
2014-05-18,90
2014-05-25,87
2014-06-01,90
2014-06-08,90
2014-06-15,81
2014-06-22,90
2014-06-29,98
2014-07-06,100
2014-07-13,92
2014-07-20,90
2014-07-27,89
2014-08-03,89
2014-08-10,86
2014-08-17,90
2014-08-24,90
2014-08-31,91
2014-09-07,90
2014-09-14,91
2014-09-21,89
2014-09-28,97
2014-10-05,91
2014-10-12,93
2014-10-19,89
2014-10-26,97
2014-11-02,96
2014-11-09,90
2014-11-16,90
2014-11-23,83
2014-11-30,91
2014-12-07,89
2014-12-14,82
2014-12-21,72
2014-12-28,77
2015-01-04,81
2015-01-11,92
2015-01-18,89
2015-01-25,87
2015-02-01,90
2015-02-08,97
2015-02-15,92
2015-02-22,94
2015-03-01,95
2015-03-08,96
2015-03-15,100
2015-03-22,96
2015-03-29,95
2015-04-05,95
2015-04-12,93
2015-04-19,91
2015-04-26,96
2015-05-03,92
2015-05-10,94
2015-05-17,94
2015-05-24,90
2015-05-31,88
2015-06-07,88
2015-06-14,86
2015-06-21,88
2015-06-28,86
2015-07-05,87
2015-07-12,92
2015-07-19,90
2015-07-26,90
2015-08-02,89
2015-08-09,87
2015-08-16,90
2015-08-23,93
2015-08-30,89
2015-09-06,91
2015-09-13,97
2015-09-20,90
2015-09-27,92
2015-10-04,97
2015-10-11,94
2015-10-18,98
2015-10-25,90
2015-11-01,95
2015-11-08,88
2015-11-15,86
2015-11-22,97
2015-11-29,94
2015-12-06,91
2015-12-13,83
2015-12-20,77
2015-12-27,80
