date,Hippie,Hoodie,Jacket,Jeans,Jewellery,Jodhpurs,Kilt,Kimono,Lapel pin,leading strings,leggings,Little black dress,Mackintosh,Messenger bag,Miniskirt,Mitre,Morning dress,Necktie,Organic clothing,Pantyhose,Pattern grading,Petticoat,Platform shoe,Pleat,Pocket,Poncho,Power dressing,Revers,Robe,Rubber glove,Ruffle,Sari,Sash,Sequin,Shirt,Shoe tree,Skirt,Sleeve,Sombrero,Spandex,Straw hat,Style line,Suit clothing,Sun hat,Supermodel,Surtout,Suspenders,Sweater,Fetish fashion,Fishnet,Flannel,Flip-flops,Handbag,Handkerchief,Haute couture,Headband,Headpiece,Hijab,Tote,Boat neck,Boater,Bowler hat,Buckskins,Busby,Bustier,Button,Camp shirt,Chaps,Chic style,Choker,Cleavage breast,Coat,Cocktail dress,Cope,Corsage,Corset,Cowboy hat,Cowl,Cuff,Cut and sew,Dandy,Dirndl,turtleneck,tutu,trousers,trunks,turban,tuxedo,twill,umbrella,undershirt,uniform,veil,vest,visor,wader,waistcoat,Wellingtons,wig,yoke,zoris,abaya,anorak,apron,balaclava,bandanna,bathing suit,beanie,boot,bow tie,bracelet,brassiere,briefs,caftan,camisole,cape,cardigan,capris,cloak,culottes,dashiki,dress,duds,dungarees,earmuffs,earrings,elastic,fedora,fur coat,garb,gabardine,garters,gilet,girdle,glasses,gloves,gown,high heels,hosiery,jumpsuit,jumper,jersey,loafers,long johns,mittens,mumu,necklace,nightshirt,overalls,overcoat,pajamas,parka,peplum,pinafore,pleat,polo shirt,pullover,pumps,purse,raincoat,ring,sandals,sarong,shoe,slippers,stockings,sweatpants,tank top,tiara,tights,toga
1/1/12,46,38,61,79,73,64,48,48,26,56,43,25,25,70,55,51,23,31,61,89,33,72,79,70,72,58,58,77,38,62,76,32,16,54,55,69,58,56,38,77,47,51,64,8,79,45,42,22,73,71,37,43,82,71,52,37,27,14,68,27,20,50,45,45,64,92,37,80,68,20,28,63,60,59,22,52,31,61,68,81,45,10,43,35,66,62,45,53,75,67,53,73,57,68,76,40,44,66,39,80,90,29,61,34,52,48,31,30,95,39,42,57,83,35,59,79,61,44,73,42,31,25,50,29,36,51,14,74,49,56,62,60,61,80,69,55,56,58,85,33,41,65,44,59,47,26,48,35,29,47,31,30,8,27,73,40,31,80,59,31,77,40,49,81,39,56,32,32,67,67,51
1/8/12,49,34,57,79,72,57,49,50,25,26,40,29,29,66,52,48,29,36,73,85,38,74,63,85,69,56,55,68,39,74,85,33,17,47,57,57,58,56,39,73,45,66,80,8,70,42,40,20,65,64,32,33,79,67,49,39,26,13,69,26,29,55,51,51,70,85,38,83,66,18,29,58,70,73,29,53,30,60,72,74,47,11,36,38,69,56,48,59,76,63,53,74,58,68,77,38,45,52,38,91,91,33,55,36,46,49,35,29,93,34,41,52,76,38,54,79,57,47,55,44,31,26,43,29,30,49,15,76,40,45,62,69,60,82,68,51,64,58,80,33,44,60,48,51,42,26,46,43,30,40,26,29,8,24,79,42,29,83,54,32,74,40,52,77,31,50,30,31,73,64,55
1/15/12,51,35,59,77,73,61,51,53,36,26,40,29,27,64,53,46,25,35,83,84,31,79,62,89,70,51,67,77,41,59,89,38,18,52,58,50,60,58,40,69,43,62,81,7,72,34,41,20,65,66,31,35,79,64,53,42,27,14,67,29,22,59,42,50,73,86,47,76,73,22,41,59,76,88,27,54,32,65,72,44,53,10,35,38,65,65,50,67,77,63,53,76,62,66,75,37,43,54,40,82,64,32,57,33,59,41,39,30,94,40,41,65,85,39,62,80,58,45,56,46,30,28,53,33,33,51,16,77,40,50,64,78,60,81,68,59,69,62,85,34,43,59,44,56,45,24,47,38,30,43,28,29,7,25,87,45,29,84,53,30,74,43,50,75,31,49,31,32,72,65,54
1/22/12,55,36,55,76,71,54,55,53,47,26,40,30,23,64,49,49,30,36,72,84,41,81,77,82,69,50,47,77,43,54,91,37,19,48,60,54,61,57,40,71,49,63,83,9,73,37,44,18,85,72,28,34,77,71,96,44,32,14,69,31,20,54,68,52,78,85,37,85,77,22,28,55,82,100,28,58,33,68,68,78,49,11,33,39,64,65,49,64,70,68,48,80,58,62,77,34,46,51,39,86,42,32,52,33,48,46,43,27,92,41,41,64,80,39,60,78,59,47,60,41,32,28,34,38,26,51,17,76,34,65,71,79,55,83,68,51,69,66,78,35,38,59,43,46,37,25,49,28,29,40,25,25,9,27,74,44,30,88,54,36,72,43,61,75,28,48,34,34,70,66,54
1/29/12,54,36,52,76,72,54,50,52,36,51,40,31,28,63,46,48,25,35,65,83,37,81,76,83,68,46,42,74,43,76,91,35,18,46,60,51,59,58,42,71,52,77,77,10,74,41,40,17,66,75,29,47,79,55,71,42,26,13,68,38,22,57,33,46,76,88,52,79,71,22,31,53,76,67,31,57,30,52,75,56,49,12,30,38,64,64,49,62,71,64,52,79,57,63,76,34,40,59,40,86,100,32,59,36,51,47,39,32,85,42,42,58,82,41,61,76,57,43,55,43,30,27,39,33,25,53,16,74,37,56,70,71,56,81,66,56,65,62,83,34,42,55,44,56,37,25,49,29,30,38,25,30,11,24,82,45,30,82,55,32,71,42,55,75,27,48,32,35,66,64,58
2/5/12,60,38,52,76,76,68,49,52,34,60,40,31,25,61,49,57,34,40,69,82,27,73,78,83,70,45,54,75,40,71,91,33,19,47,61,49,62,58,43,75,43,77,84,9,83,38,42,17,67,74,27,43,80,73,62,42,32,14,69,37,19,48,17,100,79,89,37,75,75,20,34,53,80,70,31,61,32,57,74,54,50,11,28,38,63,73,55,64,77,66,58,79,54,62,77,45,45,74,41,90,54,31,53,33,56,55,40,28,85,48,48,61,82,39,55,79,58,43,57,46,34,27,36,34,28,56,16,77,36,60,58,67,58,78,69,53,66,63,94,34,40,58,45,54,33,26,55,36,30,39,28,28,11,23,84,50,33,85,54,29,77,42,51,77,27,51,32,36,67,68,62
2/12/12,74,34,49,74,75,68,51,51,30,26,39,31,25,63,51,51,26,45,65,80,58,75,72,70,69,44,65,79,41,59,88,33,17,42,59,61,60,56,48,74,51,70,83,8,77,38,43,16,77,74,23,41,80,76,57,42,26,14,67,31,25,47,33,51,69,86,46,90,78,21,28,52,68,70,29,53,32,54,73,75,42,12,25,38,62,72,52,65,72,65,50,70,56,63,77,38,45,51,40,89,71,28,48,34,45,52,41,26,83,47,46,57,77,39,51,77,56,41,54,49,29,28,37,34,23,53,17,75,32,52,64,71,50,78,66,49,63,62,78,33,38,56,49,41,27,26,54,32,26,31,25,20,11,21,77,45,28,87,53,29,74,43,61,76,25,46,31,35,65,61,68
2/19/12,60,35,49,77,71,53,51,49,30,65,39,33,32,66,50,49,29,38,78,81,20,63,81,82,69,41,80,76,44,57,91,33,17,47,62,59,62,59,47,79,55,64,85,10,86,42,44,16,70,77,23,52,82,82,53,38,28,14,68,28,25,48,33,51,72,88,42,81,84,22,38,50,82,70,26,56,34,58,72,51,45,11,25,38,62,72,48,67,70,63,58,73,55,64,82,36,45,42,41,90,36,33,41,35,44,39,47,24,85,48,40,63,80,43,55,78,53,44,57,43,37,29,38,38,19,50,18,79,27,49,78,74,47,85,73,47,68,65,81,35,40,57,46,38,22,27,47,36,29,32,23,16,12,27,80,47,26,90,55,31,71,47,64,80,25,49,30,40,65,61,73
2/26/12,52,33,48,78,70,55,50,51,37,69,38,29,26,66,49,58,28,36,79,81,44,72,73,87,67,39,77,75,45,68,97,33,18,45,64,57,62,57,49,70,57,72,87,11,85,33,44,15,34,75,22,42,81,82,59,44,31,15,69,24,22,58,42,45,73,89,45,77,78,18,26,47,74,69,28,52,31,53,74,64,44,9,25,38,64,71,47,69,73,62,53,75,56,66,84,42,42,36,43,92,77,32,45,37,42,46,48,21,86,47,40,59,80,50,58,76,54,45,58,44,25,31,39,37,18,50,18,82,21,49,75,75,48,88,69,46,69,63,80,37,39,56,48,32,20,29,47,34,34,34,24,14,22,29,81,51,25,91,56,38,70,47,61,80,26,47,33,40,61,62,65
3/4/12,54,31,47,77,70,57,54,54,36,52,39,30,26,65,50,56,26,39,82,81,51,69,58,76,66,37,54,80,49,64,95,32,19,46,63,59,63,57,51,75,51,68,89,12,84,38,43,14,77,68,21,49,79,77,57,40,32,15,68,28,30,62,33,49,81,86,53,77,70,20,32,45,76,69,25,52,33,55,72,54,47,11,24,37,63,75,49,66,78,67,54,75,54,63,83,39,42,45,40,88,95,34,46,37,38,54,50,21,84,49,48,58,77,49,51,76,54,50,56,44,23,28,35,35,32,49,17,77,19,47,79,78,46,85,67,45,60,62,74,37,40,56,56,31,19,30,47,24,35,33,24,13,16,26,76,50,24,91,57,35,69,51,61,78,23,46,28,43,65,57,65
