Category,Event,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,Node,active0,active1,active2,active3,active4,active5,active6,active7,active8,active9,active10,active11,active12,active13,active14,active15,active16,active17,active18,active19,active20,active21,active22,active23,active24,active25,active26,active27,active28,active29,active30,active31,active32,active33,active34,active35,active36,active37,active38,active39,active40,active41,active42,active43,active44,active45,active46,active47
Boat neck,Academy Awards,-0.408224364,-0.77975733,-0.898832277,0.028425963,0.93624951,-0.121249983,-0.912111025,0.178688654,-0.801573235,-0.071003277,-0.997509336,0.339514727,0.902669891,0.773821706,-0.344806127,0.286168883,0.905996404,0.363241579,-0.113919487,0.180546678,0.759775938,0.902358508,-0.023459704,-0.326071706,0.515318269,-0.825982936,-0.634905664,-0.255464245,-0.554088926,0.19730484,-0.028089966,-0.438381621,0.6301729,0.730095643,0.11516947,-0.588198745,0.987712891,0.995583238,0.1037043,-0.096474773,0.141997557,-0.546957695,0,-0.2723441,0.0419331,0.26751675,-0.845363944,0.757343977,Academy Awards,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Boat neck,Bread and Butter,-0.427119048,0.961073645,0.483621975,-0.06462,-0.674770604,-0.897333412,0.383508099,-0.715581398,-0.175054713,-0.628422997,-0.134328358,0.26240383,-0.082512938,0.580962323,0.362881148,0.179104885,0.176267609,-0.139926796,-0.870242104,0.254456679,-0.0990544,-0.064062213,0.621290181,-0.673906456,0.059125702,0.387502458,0.189042827,-0.355671497,-0.810140447,-0.263981839,0.760656356,-0.684581374,0.508060201,-0.134745564,-0.327697257,0.06322027,0.823736084,-0.035518355,-0.426704598,-0.445976488,-0.006692408,-0.675422271,0.035270937,-0.914009933,-0.465635927,0.386493976,-0.706134813,-0.723746864,Bread and Butter,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Boat neck,CFDA Fashion Awards,0.915180346,-0.730296743,0,0,0,-0.250386698,0,0,0,0,0,0.213849731,0,0,0,0.730296743,0.500835422,-0.401477534,-0.432590456,-0.636612739,0.075377836,-0.747392488,0.704132657,-0.592156525,0,0,0,0.762000762,0.146647115,0.282682399,0.883541262,0.068041382,-0.889297292,0.268240583,-0.398409536,0.048970211,-0.453989945,-0.878787879,0,0,-0.620985692,0,-0.3086067,0,0.66169316,-0.929760004,-0.157242726,-0.881917104,CFDA Fashion Awards,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Boat neck,Haute Couture Fashion Week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.829156198,0,0,0,0,0,0,0,0,0,0,0,0,-0.958002082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haute Couture Fashion Week,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
Boat neck,London Fashion Week,0.830612533,-0.263814231,0.707106781,-0.021193738,-0.572077554,0.936585812,0.049029034,-0.212242933,-0.836229262,-0.700999637,-0.377181623,0,-0.40529194,0.335743087,-0.173980051,0.381385036,0.434057366,-0.655314788,-0.468292906,-0.392024836,-0.573025487,0,0.49384396,0.241746889,0.421111782,0.629541206,0,0.87988269,0,-0.268678958,-0.139121669,0.863888323,-0.233631639,0.11496025,0.30429031,-0.5672613,-0.767156667,0.55036673,0,0,-0.338719468,0,0.77824058,0.737557738,-0.975322204,0.483475202,-0.720576692,0.125988158,London Fashion Week,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
Boat neck,Men's New York Fashion Week,-0.318849358,0.289920458,0.707106781,0,0.33028913,-0.374634325,-0.280224269,0.640257041,-0.672139738,0.070099964,-0.493741931,-0.641549192,0.350590224,0.101432375,-0.270635636,0.730296743,-0.057831493,0.827738108,-0.973328527,-0.048970211,-0.077712066,0.760710522,0.49384396,-0.337099931,-0.836385993,0.629541206,-0.547619048,-0.146647115,-0.146647115,0.545278541,0.401609664,0.461479103,0.407581795,-0.958002082,-0.589255651,-0.130013654,-0.10595218,-0.788349772,0.348742916,0.730766396,0.188216682,-0.602428926,-0.351250087,0.606499158,-0.594492128,0.771750222,-0.254050433,-0.855337203,Men's New York Fashion Week,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Boat neck,Milan Men's Fashion Week,-0.708232825,-0.243432248,0.828274273,0.357364984,0.742986867,-0.237822011,0.625095553,0.489608325,0.441746973,0.939618477,0.070534562,-0.845158207,-0.036726626,-0.414283967,-0.202372328,-0.365148372,-0.657659571,0.011141413,-0.730549572,-0.930434003,0.429107209,0.064062213,-0.03998244,0.203355313,-0.091303011,-0.139877831,-0.124561415,-0.146647115,-0.555130715,-0.546895954,0.240965799,0.327819397,0.727606875,0.958002082,0.186581848,-0.950265051,0.523451988,0.756084305,-0.352454991,-0.540010152,-0.150541986,0.351251007,-0.322329186,-0.073244842,0.381241846,-0.483475202,0.145886533,0.901479996,Milan Men's Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Boat neck,Milan SS Ready to Wear,0.924857515,0.124920357,0.322358179,-0.301711201,0.287479787,-0.908178363,-0.852912917,0.944829453,-0.453913998,0.704226039,-0.316721315,0.668528645,-0.645040968,0.867167989,-0.362579835,-0.89564786,-0.133946178,0.337909296,-0.905366285,-0.360144171,-0.907223863,0.342953266,-0.938157597,-0.820565835,0.176803969,-0.016674918,-0.931540039,-0.762000762,-0.22757881,-0.176135675,0.216954282,-0.202265896,0.84542767,-0.612872201,-0.635840889,0.4656131,-0.119803992,-0.366769717,0.500306143,0.227520647,0.335235477,0.45655067,0.451753951,-0.340468292,-0.873513247,-0.91949286,0.218440267,0.516736162,Milan SS Ready to Wear,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Boat neck,New York Fashion Week,0.00097354,0.91435079,0,0.466899528,-0.440385506,0.936585812,0,0.640257041,-0.730846443,-0.536924844,0,0.220549766,0.272681285,-0.924600197,0.544540782,0.948683298,0.434057366,0.983415102,0,0.048970211,0.684986806,-0.875516915,-0.251577303,0.241746889,0.10976426,0.496171808,0,-0.742168562,0.667012252,0,0,-0.410553575,-0.541033816,0.574801249,-0.890791792,-0.930434003,0.756649908,-0.421442114,-0.132705297,-0.891952975,-0.150541986,0,0,0.610434243,0.340835445,0.223680468,0.080064077,0,New York Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Boat neck,Paris Fashion Week Ready to Wear,0.321298677,-0.798995976,0.015856046,-0.311266352,-0.741619849,-0.083462233,0.41746718,0.793167915,0.667941031,-0.183803656,-0.997509336,0.209614663,-0.192382494,0.70671861,-0.805302671,0.730296743,-0.500835422,-0.16085244,-0.707211904,0.599760144,0.1725364,0.771721799,-0.319546092,0.559258941,-0.389474184,-0.633226918,-0.43906498,-0.127000127,0.146647115,0.467518169,0.680924938,-0.219244452,0.199164102,0.326264937,0.30429031,0.254456679,-0.397618865,0.842424242,-0.906001877,-0.112055809,-0.595069449,-0.698269892,-0.069263564,-0.467872583,0.647018262,0.541401367,-0.104828484,0.881917104,Paris Fashion Week Ready to Wear,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
