date,Paris Fashion Week Ready to Wear,Academy Awards,Milan SS Ready to Wear,London Fashion Week,Haute Couture Fashion Week,Pitti Immagine,Men's New York Fashion Week,CFDA Fashion Awards,New York Fashion Week,Milan Men's Fashion Week,Bread and Butter
1/1/12,11,64,10,0,0,34,0,1,20,24,34
1/8/12,12,36,33,0,0,100,7,1,20,78,42
1/15/12,22,23,42,27,0,47,8,1,0,78,100
1/22/12,38,35,61,53,0,21,11,1,0,22,18
1/29/12,19,30,91,52,0,14,0,2,19,0,14
2/5/12,15,25,32,26,0,11,15,1,96,0,21
2/12/12,15,40,51,26,0,5,44,1,77,0,14
2/19/12,20,30,28,66,0,7,11,1,19,22,14
2/26/12,48,100,33,27,0,12,8,2,19,0,11
3/4/12,63,20,69,0,100,13,7,1,0,22,0
3/11/12,17,34,18,26,0,9,0,2,37,21,10
3/18/12,10,15,37,26,0,6,7,1,0,22,14
3/25/12,9,45,18,0,0,8,0,1,0,0,7
4/1/12,7,26,29,0,0,5,0,1,0,0,18
4/8/12,6,36,10,27,0,9,0,1,0,23,11
4/15/12,9,29,32,26,0,10,0,1,0,22,14
4/22/12,9,15,41,0,0,10,0,1,19,22,21
4/29/12,7,45,28,0,0,14,0,1,0,0,14
5/6/12,7,24,18,26,0,17,7,1,19,21,17
5/13/12,6,52,27,0,0,35,7,1,0,43,14
5/20/12,8,15,36,26,0,19,7,1,0,0,24
5/27/12,7,20,18,0,0,27,0,1,0,22,24
6/3/12,8,22,45,0,0,27,7,8,0,21,17
6/10/12,8,19,14,26,0,38,0,2,19,21,7
6/17/12,9,22,36,0,0,61,0,1,0,43,24
6/24/12,15,44,36,0,0,32,0,1,0,76,21
7/1/12,25,15,23,0,0,10,7,1,0,65,73
7/8/12,11,22,23,0,0,9,0,1,0,0,14
7/15/12,11,44,41,0,0,5,7,1,0,0,24
7/22/12,6,23,28,53,0,8,0,1,0,22,11
7/29/12,7,35,18,0,0,5,7,1,0,33,14
8/5/12,9,22,23,0,0,7,0,1,0,0,7
8/12/12,8,30,14,53,0,5,0,1,0,0,14
8/19/12,9,15,36,26,0,6,0,1,0,22,7
