Keyword,Fashion Event,Week,Month
paris fashion week,Paris Fashion Week Ready to Wear,4,February
academy award,Academy Awards,4,February
milan ss,Milan SS Ready to Wear,4,February
london fashion week,London Fashion Week,3,February
haute couture fashion week,Haute Couture Fashion Week,4,January
pitti immagine,Pitti Immagine,3,January
haute couture fashion week,Haute Couture Fashion Week,1,July
men's new york fashion week,Men's New York Fashion Week,2,July
ANDAM fashion,ANDAM Fashion Awards,4,June
CFDA fashion,CFDA Fashion Awards,1,June
pitti immagine,Pitti Immagine,3,June
paris fashion week,Paris Fashion Week Ready to Wear,4,September
new york fashion week,New York Fashion Week,2,September
london fashion week,London Fashion Week,3,September
milan men's fashion week,Milan Men's Fashion Week,3,September
bread and butter fashion,Bread and Butter,1,September
