Node,Type,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,active0,active1,active2,active3,active4,active5,active6,active7,active8,active9,active10,active11,active12,active13,active14,active15,active16,active17,active18,active19,active20,active21,active22,active23,active24,active25,active26,active27,active28,active29,active30,active31,active32,active33,active34,active35,active36,active37,active38,active39,active40,active41,active42,active43,active44,active45,active46,active47,x,y,vy,vx,fx,fy
Sari,Clothing,35,33,33.25,33,33.5,32.25,33,33.25,34.2,35.25,35.25,37,36,37,36.6,38.75,40,39,44.5,40.25,43.4,43.5,57.25,52.2,49,49.25,50.4,51,50.75,51.6,48,53.6,53.75,54.5,55,57,56.25,55.75,56.4,56.5,57,54.25,52.5,64.6,76.5,57.5,55.8,69.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,360.1696207,30.44161484,-0.16554208,0.106113163,385.1696207,86.44161484
sandals,Clothing,41.6,44.75,61.25,66,76.5,75.75,70,57.25,40.6,31.75,29.75,32,38,41.5,53,68.5,77,79,79.5,59.25,43.2,34.25,31.5,34.8,41.75,46.25,60,75,85.75,90,86.25,61.2,43.75,36.75,33,36,42.5,47.5,65.4,86,93.4,98.5,88.25,66.2,47,38,34.4,38.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,374.1308634,39.96343896,-0.102924777,0.102973972,391.1308634,69.96343896
Corset,Clothing,54.8,55.5,51,52.2,51.5,51,52.2,53,60.8,73.25,52.5,50.8,54.75,55.25,53,57.75,52.25,51,50.75,53.5,58,69.25,54,53.8,60.25,60.25,60.2,60.25,60.5,55.6,57,59.4,66.25,79.75,60.6,57,65.25,66.25,67,61,58.8,54,53,54.4,57.75,66.75,50,50.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,381.0448407,145.2063477,-0.24712872,-0.01096501,357.0448407,45.20634393
trunks,Clothing,62.4,72,69.25,67.6,71.75,78.5,81.2,72.25,62,56,55.75,59,59,65,67.2,70.25,75.5,78.6,78,68.75,56.8,56.5,53.75,56.8,60.25,62,65.6,70.5,76.5,86.8,78.25,69,55.5,55,56.4,60.75,61.25,68.5,88.4,80.25,87,95.75,97.5,83.4,70,64.5,66.6,70.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,310.4190295,45.51438551,-0.225800566,0.015979298,309.4190295,45.51438551
Bowler hat,Clothing,55,50.25,54.75,58.4,51.25,52,56.6,66.75,61.8,79,62.75,72.4,72.75,66,74.4,70,66,60.4,59.75,60.25,63,85,64.5,71.2,62.25,62.25,61.4,57.5,55.25,54.8,54.25,53.6,55.5,77.5,62.2,59.5,54.5,61.25,53.8,54,50.4,50,47,50,49.75,65.25,52.6,50.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,269.1481006,46.18483025,-0.255524546,-0.053413287,300.1481006,63.18483025
Pleat,Clothing,81.8,80.5,83,84.8,78.25,79.75,80.8,80.75,82.6,78.25,78.5,69.4,87,81.25,83.6,86,77.25,80.6,81.5,84.25,84.6,87.75,85.75,74,84.75,87.25,88.8,90.75,84.25,83.4,88.75,89.2,90.5,90.5,92.2,75,89.25,89.5,86,85.25,87,81.75,90,92,87,88,90.6,78.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,496.4360456,126.5122249,-0.264785059,0.032045198,427.4360456,82.51222112
toga,Clothing,54.4,67,72,68.4,63,56,56,58.25,78.4,82.5,52,43.4,49.5,60.25,57.2,58.5,55.5,53.6,51.25,55.75,72.8,79.5,54,43.4,49.25,61.5,61.8,60.5,61.25,55.8,60.25,61.4,75.25,82.5,58,45.5,52.25,62,60.8,61.25,60.2,54.5,57.5,60,77.25,78.5,57.6,48.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,588.9121658,52.37744588,-0.196175469,0.208251532,569.9121658,131.3774459
shoe,Clothing,76.6,78.25,80,81.6,79.75,78,81.6,90.25,83.2,80.75,82.25,85.8,75.75,77,79.6,81,77,74.8,79.75,86,78.6,79.25,84.5,90.4,77,79.25,80.6,86.25,79,75.4,82.25,86.8,79.75,81.25,89,91.5,79.5,79.5,83.6,84.5,81.8,79,86,91,83.25,84.25,89.8,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,443.4459444,26.02276703,0.018578155,0.074790338,475.4459444,59.02276703
umbrella,Clothing,65,64,71.5,75.6,81.75,83.75,82.4,72,75.6,68.25,64.5,64.2,59.75,62.75,67.4,75.5,91.25,87,81.25,71.25,68.4,67.75,64.75,59.6,59.5,62.75,67.8,76.25,81.25,85.4,88.25,74,69.75,76.75,66.2,61.25,57.5,56.5,64.6,73.75,80.8,85.25,80.75,73,72.25,66.25,63.6,59.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,558.9505047,65.31020293,-0.215260083,-0.138809018,546.9505047,63.31020293
Messenger bag,Clothing,65.4,64,61.75,63.6,62.5,65.5,80.4,95.75,71.2,58.75,68.75,75.6,64.75,60.25,57.8,56,56.25,57.8,70.75,83.75,61.2,55.5,62.75,76.6,60,57.75,55.8,55.75,53.75,55.4,67.25,77.4,58,51.25,64.4,70.25,54.5,55.25,52,51,51,51.5,58.75,66.6,51.75,46,55.6,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143.4838055,63.47436004,-0.146511421,0.001417046,551.4838055,262.4743677
