,Node,Type,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47
0,Academy Awards,Event,37.6,48.75,28.5,30.2,27.75,26.75,27.8,27.5,16,27.5,19,18.6,32.5,39.25,40.4,26.75,23.75,21.2,17.5,32.5,26.6,22,17.75,20.2,25.5,38.75,28.4,23.25,22.75,23,18.75,23.4,13.25,18.5,22.6,24.25,34.25,45.25,23.8,16.75,16,24.25,19.25,15.4,16.25,35.5,20.4,21.25
1,Boat neck,Clothing,30.2,30,28,38.2,38,37,36.8,39.75,38.2,33,34.75,34,39.25,34.75,37.4,43,39.75,39.4,39,42.75,38.4,38.25,42.75,40.6,44.25,41.75,46.8,48,45,49.2,52.75,51.4,49.75,47.25,54,49.75,61.25,63.75,66.4,70.5,68.6,65,73,81.6,84.75,93.5,86,83
2,Boater,Clothing,22.6,22.75,31.25,39,57.25,62.25,70.8,46.5,28.2,22,18,19.2,21.75,27,27.8,39.75,52.75,68.4,62.75,44.75,29.2,24.25,16.25,17.4,18.75,21.5,28.8,38.25,54,68.8,67.25,43.6,25.25,22.25,19,19,20,24,29,38.75,53.8,66,75.75,45.6,26.25,24.75,19.8,22.5
3,Bowler hat,Clothing,55,50.25,54.75,58.4,51.25,52,56.6,66.75,61.8,79,62.75,72.4,72.75,66,74.4,70,66,60.4,59.75,60.25,63,85,64.5,71.2,62.25,62.25,61.4,57.5,55.25,54.8,54.25,53.6,55.5,77.5,62.2,59.5,54.5,61.25,53.8,54,50.4,50,47,50,49.75,65.25,52.6,50.5
4,Bread and Butter,Event,41.6,15,7.75,15.6,19.75,17.25,27.2,8.75,11.8,14.25,14.25,13.8,41.5,9.25,7.8,11.75,17.25,33.2,5.75,8.5,7.8,7.25,14,12.8,35,16.25,7.8,9.75,12.5,11,19.25,9.8,13.5,11.25,12.2,11.5,11,8.25,7.2,7,10.6,12,11.75,7.2,5.25,6.5,5.8,5.75
5,Buckskins,Clothing,47.8,31.25,33,33.8,47.5,36.5,36.6,49.75,26.6,41.25,31,38.6,22.25,23.75,41.2,39.5,37.75,34.4,44.25,41.75,22.8,32.75,27.25,32.6,32,37.25,26.4,26.5,19.5,24.6,26.25,29.6,30.25,28.5,33.8,17.25,32,38.5,28.8,34.5,25.2,32.75,27.5,29,37.75,30.5,27.4,27.75
6,Busby,Clothing,48.8,61.75,46.75,44.2,46.75,48,42.4,45.5,55.2,40.25,42.5,38.8,42,56.75,44.8,46,62,44.4,45.25,48.5,49.4,46,45.5,42.8,49,49.75,45.2,48.5,43.25,41,55.5,51.8,51,46.25,43.2,39.25,41.25,50.25,40.6,45,44,44.75,43.5,49.2,41.75,42.75,38.2,36.5
7,Bustier,Clothing,72.2,73.25,77.25,91.2,88.75,91.5,92.4,82.5,76.2,79.75,71.25,75,76.25,83,83.8,91.25,89.75,94.4,90,78.75,66,70.5,66.25,72.8,74.5,79,81.6,90,89.25,90.2,80.5,67.4,64,67.25,60.4,64.75,63.25,68.5,69.4,72.5,74.6,76.25,75,58.4,53.75,58.25,50.4,53.75
8,Button,Clothing,87.2,88,86.25,87.4,87,90,94.4,94.5,92.8,90,89,90.4,91,88.75,89.4,88,86.75,87.8,91.25,89,93,94.75,92,93,93.75,92.75,91.6,91,89,87.8,89.25,88.4,90.25,90.5,95,92.5,90.25,90.5,90.2,92,88.2,90.25,89,88.8,94.25,91,93,96
9,CFDA Fashion Awards,Event,1.2,1.25,1.25,1,1,3,1,1,1,1,1,0.6,1,1,1,0.75,0.75,2,0.75,0.75,0.8,0.75,1.25,0.4,1,1,1,0.5,0.75,24.2,1.5,1.2,1.25,1.25,1.8,1.25,1.25,0.75,1,1,3,1,1.25,1,0.75,1.25,0.8,0.75
10,Camp shirt,Clothing,42.2,42.5,59.75,67.4,72.25,77.25,72.2,61.5,53.4,55,47.5,50.6,44.75,52.5,53.6,72,79.25,84,89,79.25,60.8,79.25,53.75,56.8,51.5,58,62.6,71.75,77,88.8,83,74,61.25,73,60.2,57,43,56,64.4,69.5,78.8,84.25,80.25,69.2,56.75,65.5,53.4,51.25
11,Chaps,Clothing,80.6,80.75,75.5,78,74.75,75,77.2,77.75,80.8,84.25,81.25,86.2,73,74,78.8,74.75,73.75,73.4,76,74.75,75.6,78.75,77.75,86.6,74.25,73.5,72.6,74.25,71,75.6,75,75,72.75,84.5,77.6,81,72.5,71.25,71.6,70.5,71.4,74.25,73,71.6,72,75.25,76.2,85
12,Chic style,Clothing,71,78.75,67.25,73,72.75,71.5,81.2,83.75,85.8,76.75,73.5,75,81.75,87.25,84.8,79.5,79.5,77.4,79.75,88.25,76,82,81.5,75.4,89.5,84.5,85.6,86.5,80,80.6,87.5,92.6,84.25,81,78.8,71.75,81.5,80,83.6,85,81.8,76.75,78.75,80.6,80.5,75,70.8,76.5
13,Choker,Clothing,20.8,20.25,19.25,21.8,20,21.25,22.4,21.25,22,23.75,22.5,22,21,21.5,23,22.75,23.25,22,21.5,25,25,27,26.25,29.2,29,33,34.6,42.25,48,48.8,59.75,68.4,69.75,72.75,76.4,82,75.5,75.5,80.6,77.5,79.8,86,85.25,79.2,71.5,73.75,68,76.25
14,Coat,Clothing,57.6,50.5,44,42.2,39.25,37.5,38.6,45,55.6,66.25,74.75,75,58.5,50.75,48.8,42.75,39.25,38,39,44.75,56.2,70.25,86,84.4,64.5,58,49.6,46.5,41.25,38.4,41.5,50.4,59.75,73.25,93.8,85.5,69,61.25,52.8,45.75,41.8,39.5,43.5,49.4,61.5,75.25,86.8,91
15,Cocktail dress,Clothing,72.8,76,69.75,68.8,63.75,61.5,64,65,75.2,68,82.5,64.8,78.5,78.5,68,67.25,58,54.4,57,61,68.6,65.75,79,68,79.75,80.25,73.2,67.75,61.75,56.2,59.25,63.4,70.5,67.75,87.6,62.75,78.25,85,70.6,66.25,61,53.5,60.5,64,71.75,68.75,85.2,65.5
