Node,url,url_event
Boat neck,http://s7d5.scene7.com/is/image/Theory/G0126533_001_F0,s
Boater,https://www.historicalemporium.com/store/media/003217/003217_01.jpg,s
Bowler hat,http://media.goorin.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/imports/products/100-2329-BLK-F01.png,s
Buckskins,https://www.warpaths2peacepipes.com/images/frontierman-buckskins-a.jpg,s
Busby,http://i.dailymail.co.uk/i/pix/2011/06/04/article-1394239-0C6672F400000578-363_634x647.jpg,s
Bustier,https://goo.gl/images/GdHjx3,s
Button,https://sits-pod46.demandware.net/dw/image/v2/AARD_PRD/on/demandware.static/-/Sites-agaci-products/default/dw4b8b0715/images/hi-res/30030-51589_ZM_871_FRONT.jpg?sw=787&sh=1185&sm=fit,s
Camp shirt,https://cdn.lookastic.com/light-blue-print-short-sleeve-shirt/shipley-halmos-short-sleeve-palm-tree-print-camp-shirt-original-29431.jpg,s
Chaps,http://www.jafrum.com/assets/images/products/LC43404_Black-Leather-Chaps-Back-View.jpg,s
Chic style,https://www.lenapenteado.com/wp-content/uploads/2013/02/casual-chic-style-classic-lovely-pepa.jpg,s
Choker,https://s-media-cache-ak0.pinimg.com/originals/fe/e6/ba/fee6ba6fdcd736268544c7cde76fcb78.jpg,s
Coat,http://g.nordstromimage.com/ImageGallery/store/product/Zoom/17/_12850557.jpg,s
Cocktail dress,https://ss.dresswe.com/images/product/c/4352/12180/12180689_1.jpeg,s
Corsage,https://s-media-cache-ak0.pinimg.com/736x/c4/33/6e/c4336e460ca9c85a1c0c1add9466c4c2.jpg,s
Corset,https://s-media-cache-ak0.pinimg.com/736x/c4/33/6e/c4336e460ca9c85a1c0c1add9466c4c2.jpg,s
Cowboy hat,http://www.sheplers.com/dw/image/v2/BBCT_PRD/on/demandware.static/-/Sites-master-product-catalog-shp/default/dw17cbdf2c/images/B15/096B15_BQ_P1.JPG?sw=290&sh=290&sm=fit,s
Cowl,http://irepo.primecp.com/1003/21/150895/holy-cowl_Medium_ID-491922.jpg?v=491922,s
Cuff,http://cf.ltkcdn.net/mens-fashion/images/std/45959-425x282-FrenchCuff.jpg,s
Cut and sew,https://static1.squarespace.com/static/520bae32e4b02fa8656c169b/t/527a95c7e4b01c0da07c1987/1383765457189/cut%26sew.png,s
Dandy,http://www.moderngentlemanmagazine.com/wp-content/uploads/2014/07/Dandy-street-style1.jpg,s
