date,Fetish fashion,Fishnet,Flannel,Flip-flops,Handbag,Handkerchief,Haute couture,Headband,Headpiece,Hijab
2012-01-01,0,46,38,0,67,56,0,46,0,15
2012-01-08,100,43,32,65,59,46,25,44,29,12
2012-01-15,0,0,43,0,76,46,0,29,0,17
2012-01-22,0,0,50,0,25,46,25,22,0,17
2012-01-29,96,42,49,0,49,29,50,53,0,12
2012-02-05,0,57,57,0,33,65,0,32,0,17
2012-02-12,0,64,50,65,50,45,25,43,0,18
2012-02-19,0,42,21,0,41,29,25,21,0,16
2012-02-26,0,85,85,0,75,46,25,43,29,22
2012-03-04,0,0,56,0,37,52,25,21,0,17
2012-03-11,0,42,49,0,49,38,49,31,0,14
2012-03-18,0,0,63,64,33,26,25,43,0,22
2012-03-25,0,85,64,0,50,52,25,32,0,15
2012-04-01,0,44,44,0,26,61,26,22,0,19
2012-04-08,0,44,59,0,26,40,26,33,0,17
2012-04-15,0,41,83,0,49,57,25,42,28,15
2012-04-22,97,42,49,0,57,19,62,35,0,16
2012-04-29,0,43,36,0,33,33,38,21,0,18
2012-05-06,0,63,42,0,57,64,0,21,0,22
2012-05-13,0,0,21,64,86,45,0,53,0,14
2012-05-20,0,42,42,0,73,57,49,42,28,20
2012-05-27,0,84,32,0,33,39,75,57,0,20
2012-06-03,0,83,21,0,65,38,24,42,0,15
2012-06-10,0,42,21,0,49,28,49,0,28,12
2012-06-17,0,0,93,63,57,47,0,42,0,17
2012-06-24,0,0,32,0,37,39,37,53,29,18
2012-07-01,0,42,21,0,37,26,25,57,0,16
2012-07-08,0,63,28,0,74,19,75,21,0,25
2012-07-15,0,85,21,0,50,78,50,22,0,22
2012-07-22,0,0,50,66,59,52,26,29,0,31
2012-07-29,0,43,21,0,50,49,25,43,0,47
2012-08-05,0,0,32,0,62,32,25,43,0,29
2012-08-12,0,43,50,0,58,59,0,57,0,26
2012-08-19,0,42,32,0,41,39,0,32,0,20
2012-08-26,95,41,51,0,40,66,0,31,0,36
2012-09-02,0,41,55,0,48,25,24,48,0,36
2012-09-09,0,100,40,60,35,37,24,60,27,33
2012-09-16,92,0,47,0,39,49,24,30,0,34
2012-09-23,0,80,47,0,55,46,35,74,0,36
2012-09-30,0,39,39,0,38,36,0,59,26,27
2012-10-07,0,0,51,0,52,23,23,52,0,25
2012-10-14,0,38,76,0,52,40,22,76,0,29
2012-10-21,0,39,51,0,37,41,0,97,0,30
2012-10-28,0,0,64,0,82,17,0,71,0,31
2012-11-04,0,37,56,0,36,40,0,37,0,21
2012-11-11,0,38,69,0,36,29,0,44,25,35
2012-11-18,86,56,50,0,73,34,33,38,0,25
2012-11-25,0,36,85,0,43,100,54,43,25,35
2012-12-02,0,0,49,55,71,44,22,28,0,27
2012-12-09,0,37,43,0,51,34,66,31,25,29
2012-12-16,0,0,25,0,44,46,33,32,0,19
2012-12-23,0,0,31,0,49,19,0,42,0,24
2012-12-30,0,0,26,0,31,36,0,40,0,20
2013-01-06,0,71,53,0,55,54,42,36,0,30
2013-01-13,0,0,46,0,54,21,21,26,0,19
2013-01-20,0,52,29,0,34,56,21,18,0,27
2013-01-27,0,34,63,0,50,26,41,23,0,26
2013-02-03,0,34,61,0,81,53,41,41,24,23
2013-02-10,0,0,70,0,41,38,31,41,24,32
2013-02-17,0,35,52,0,74,31,41,75,0,30
2013-02-24,0,34,40,0,69,55,40,80,23,24
2013-03-03,0,34,51,0,89,36,20,45,0,20
2013-03-10,0,50,50,0,52,46,59,62,0,32
2013-03-17,0,33,42,50,98,51,20,34,0,28
2013-03-24,0,0,63,0,74,37,21,35,0,21
2013-03-31,0,68,68,0,60,37,30,40,23,30
2013-04-07,0,33,28,0,20,51,20,45,23,33
2013-04-14,0,34,51,0,40,57,20,46,23,36
2013-04-21,0,34,25,51,46,46,0,28,23,27
2013-04-28,0,0,43,0,67,32,41,35,0,38
2013-05-05,0,0,51,0,53,52,40,52,92,38
2013-05-12,0,33,67,0,39,41,20,39,34,32
2013-05-19,0,33,25,0,65,46,39,72,22,32
2013-05-26,0,34,22,51,59,46,20,79,23,30
2013-06-02,0,0,45,51,72,51,20,68,46,30
2013-06-09,0,33,39,0,68,30,30,34,0,43
2013-06-16,0,0,56,0,59,51,20,59,45,23
2013-06-23,0,34,28,0,39,15,0,51,23,28
2013-06-30,0,0,26,0,54,32,31,29,23,27
2013-07-07,0,0,17,0,40,39,20,58,0,58
2013-07-14,0,35,23,0,54,47,41,29,0,45
2013-07-21,0,0,29,0,81,42,0,64,0,45
2013-07-28,0,34,28,51,70,42,0,40,23,41
